strategy,fill,gamma,k,tau,half_spread,latency_ms,fee_bps,size_lots,duration_s,fills,buys,sells,volume_btc,notional,spread_capture,inventory_pnl,fees,total_pnl,max_abs_inv,mean_abs_inv,final_inv,edge_ticks,markout1,markout5,markout30,realized1,realized5,realized30,wait_s,live_frac,cancels,post_only_rejects,gaps,dataset,label
touch,queue,0.1,0.00243,30,2,10,0,1000,1769.1,1246,500,746,4.38825,369184.46,-0.2938,-51.2469,0.0,-51.5407,0.10597,0.07356,-0.03025,-2.0341,-471.7476,-754.8189,-874.8054,-473.7817,-756.855,-876.8487,3.174,0.6012,434,0,0,btcusdt_a,touch
touch,queue,0.1,0.00243,30,2,0,0,1000,1769.1,1304,509,795,4.42873,372592.96,-0.165,-51.1251,0.0,-51.2901,0.10597,0.07351,-0.03073,-0.3692,-495.811,-771.1546,-898.2479,-496.1802,-771.5246,-898.6245,2.981,0.6039,432,0,0,btcusdt_a,touch
touch,queue,0.1,0.00243,30,2,50,0,1000,1769.1,1177,455,722,4.36825,367499.58,-1.5208,-50.1399,0.0,-51.6607,0.10597,0.07362,-0.03025,-12.6062,-463.9014,-732.4804,-785.6984,-476.5076,-745.0978,-798.4049,3.34,0.6021,434,0,0,btcusdt_a,touch
touch,queue,0.1,0.00243,30,2,200,0,1000,1769.1,887,354,533,3.48031,292786.96,-0.685,-43.5739,0.0,-44.2589,0.10503,0.07724,-0.03037,-7.4188,-422.1995,-647.8555,-852.3561,-429.6184,-655.2833,-859.847,3.862,0.5714,330,0,0,btcusdt_a,touch
touch,optimistic,0.1,0.00243,30,2,10,0,1000,1769.1,8693,3842,4851,17.79759,1497117.13,-0.2365,-41.1383,0.0,-41.3748,0.10967,0.07516,-0.02427,0.1271,-213.2969,-375.2023,-519.4321,-213.17,-375.0757,-519.3073,1.211,0.6143,481,0,0,btcusdt_a,touch
touch,queue,0.1,0.00243,30,2,10,10,1000,1769.1,1246,500,746,4.38825,369184.46,-0.2938,-51.2469,369.1845,-420.7251,0.10597,0.07356,-0.03025,-2.0341,-471.7476,-754.8189,-874.8054,-473.7817,-756.855,-876.8487,3.174,0.6012,434,0,0,btcusdt_a,touch
touch,queue,0.1,0.00243,30,2,10,1,1000,1769.1,1246,500,746,4.38825,369184.46,-0.2938,-51.2469,36.9184,-88.4591,0.10597,0.07356,-0.03025,-2.0341,-471.7476,-754.8189,-874.8054,-473.7817,-756.855,-876.8487,3.174,0.6012,434,0,0,btcusdt_a,touch
touch,queue,0.1,0.00243,30,2,10,-0.5,1000,1769.1,1246,500,746,4.38825,369184.46,-0.2938,-51.2469,-18.4592,-33.0815,0.10597,0.07356,-0.03025,-2.0341,-471.7476,-754.8189,-874.8054,-473.7817,-756.855,-876.8487,3.174,0.6012,434,0,0,btcusdt_a,touch
fixed,queue,0.1,0.00243,30,2,10,0,1000,1769.1,512,235,277,2.97031,249895.13,-0.318,-44.1875,0.0,-44.5055,0.10969,0.06665,-0.05031,-5.2393,-838.0107,-1106.6787,-1358.3271,-843.25,-1111.918,-1363.5845,6.334,0.69,409,0,0,btcusdt_a,fixed h=2
fixed,queue,0.1,0.00243,30,2,0,0,1000,1769.1,514,237,277,2.97031,249895.05,-0.1908,-44.3972,0.0,-44.588,0.10969,0.06704,-0.05031,-2.7344,-837.5905,-1094.6547,-1338.7916,-840.3249,-1097.3891,-1341.5294,6.338,0.6833,406,0,0,btcusdt_a,fixed h=2
fixed,queue,0.1,0.00243,30,2,50,0,1000,1769.1,512,235,277,2.97031,249895.13,-1.2548,-43.2507,0.0,-44.5055,0.10969,0.06665,-0.05031,-23.5352,-822.1465,-1088.3828,-1339.9234,-845.6816,-1111.918,-1363.5845,6.315,0.6899,409,0,0,btcusdt_a,fixed h=2
fixed,queue,0.1,0.00243,30,2,200,0,1000,1769.1,410,190,220,2.27,190974.67,-0.6435,-41.4706,0.0,-42.114,0.1,0.07055,-0.05,-14.639,-868.9756,-1112.9341,-1280.1887,-883.6146,-1127.5732,-1294.9118,7.255,0.6463,313,0,0,btcusdt_a,fixed h=2
fixed,optimistic,0.1,0.00243,30,2,10,0,1000,1769.1,580,280,300,2.97031,249895.13,-0.3176,-44.1879,0.0,-44.5055,0.10969,0.06665,-0.05031,-4.3181,-844.5836,-1122.0371,-1338.2314,-848.9017,-1126.3552,-1342.5607,6.333,0.69,409,0,0,btcusdt_a,fixed h=2
fixed,queue,0.1,0.00243,30,2,10,10,1000,1769.1,512,235,277,2.97031,249895.13,-0.318,-44.1875,249.8951,-294.4006,0.10969,0.06665,-0.05031,-5.2393,-838.0107,-1106.6787,-1358.3271,-843.25,-1111.918,-1363.5845,6.334,0.69,409,0,0,btcusdt_a,fixed h=2
fixed,queue,0.1,0.00243,30,2,10,1,1000,1769.1,512,235,277,2.97031,249895.13,-0.318,-44.1875,24.9895,-69.495,0.10969,0.06665,-0.05031,-5.2393,-838.0107,-1106.6787,-1358.3271,-843.25,-1111.918,-1363.5845,6.334,0.69,409,0,0,btcusdt_a,fixed h=2
fixed,queue,0.1,0.00243,30,2,10,-0.5,1000,1769.1,512,235,277,2.97031,249895.13,-0.318,-44.1875,-12.4948,-32.0107,0.10969,0.06665,-0.05031,-5.2393,-838.0107,-1106.6787,-1358.3271,-843.25,-1111.918,-1363.5845,6.334,0.69,409,0,0,btcusdt_a,fixed h=2
fixed,queue,0.1,0.00243,30,10,10,0,1000,1769.1,297,149,148,2.91,244820.26,-0.0868,-44.9968,0.0,-45.0836,0.1,0.06735,-0.05,-2.7104,-820.9108,-1136.904,-1357.9237,-823.6212,-1139.6145,-1360.6763,5.192,0.6778,411,0,0,btcusdt_a,fixed h=10
fixed,queue,0.1,0.00243,30,10,0,0,1000,1769.1,298,150,148,2.91,244820.18,0.0404,-45.2065,0.0,-45.1661,0.1,0.06775,-0.05,1.6023,-819.5721,-1124.2869,-1333.1841,-817.9698,-1122.6846,-1331.5946,5.18,0.6711,408,0,0,btcusdt_a,fixed h=10
fixed,queue,0.1,0.00243,30,10,50,0,1000,1769.1,299,150,149,2.93,246502.67,-1.022,-44.0595,0.0,-45.0815,0.1,0.06709,-0.05,-33.9682,-794.7893,-1107.3679,-1338.0101,-828.7575,-1141.3361,-1372.2306,5.245,0.6836,410,0,0,btcusdt_a,fixed h=10
fixed,queue,0.1,0.00243,30,10,200,0,1000,1769.1,231,116,115,2.25,189290.14,-0.4645,-41.4553,0.0,-41.9198,0.1,0.07093,-0.05,-19.8333,-862.9567,-1145.8831,-1263.987,-882.79,-1165.7165,-1283.9522,6.527,0.6463,315,0,0,btcusdt_a,fixed h=10
fixed,optimistic,0.1,0.00243,30,10,10,0,1000,1769.1,300,152,148,2.91,244820.26,-0.0868,-44.9968,0.0,-45.0836,0.1,0.06735,-0.05,-2.5783,-822.395,-1134.9517,-1372.4111,-824.9733,-1137.53,-1375.0302,5.148,0.6778,411,0,0,btcusdt_a,fixed h=10
fixed,queue,0.1,0.00243,30,10,10,10,1000,1769.1,297,149,148,2.91,244820.26,-0.0868,-44.9968,244.8203,-289.9038,0.1,0.06735,-0.05,-2.7104,-820.9108,-1136.904,-1357.9237,-823.6212,-1139.6145,-1360.6763,5.192,0.6778,411,0,0,btcusdt_a,fixed h=10
fixed,queue,0.1,0.00243,30,10,10,1,1000,1769.1,297,149,148,2.91,244820.26,-0.0868,-44.9968,24.482,-69.5656,0.1,0.06735,-0.05,-2.7104,-820.9108,-1136.904,-1357.9237,-823.6212,-1139.6145,-1360.6763,5.192,0.6778,411,0,0,btcusdt_a,fixed h=10
fixed,queue,0.1,0.00243,30,10,10,-0.5,1000,1769.1,297,149,148,2.91,244820.26,-0.0868,-44.9968,-12.241,-32.8425,0.1,0.06735,-0.05,-2.7104,-820.9108,-1136.904,-1357.9237,-823.6212,-1139.6145,-1360.6763,5.192,0.6778,411,0,0,btcusdt_a,fixed h=10
fixed,queue,0.1,0.00243,30,100,10,0,1000,1769.1,297,155,142,2.76,232198.21,2.3718,-39.4601,0.0,-37.0882,0.1,0.0648,-0.04,86.9663,-878.5168,-1169.6044,-1178.6639,-791.5505,-1082.638,-1091.7432,4.493,0.699,442,0,0,btcusdt_a,fixed h=100
