t_s,side,px_ticks,qty_lots,mid_ticks,queue_wait_s
0,buy,8400027,1000,8400600.5,0.015331101
48.75704507,buy,8398972,1000,8399600.5,0.001126201
57.87145267,sell,8398841,801,8398840.5,9.012148746
58.396255395,sell,8398841,11,8398840.5,9.536951471
59.52498842,sell,8398841,88,8398840.5,10.665684496
60.707853253,sell,8398841,62,8398840.5,11.848549329
69.824065735,sell,8399017,1000,8398840.5,0.004201866
98.102968434,sell,8400228,1000,8399763.5,0.011070803
153.753068556,buy,8404691,1000,8404691.5,13.657678803
200.100967449,buy,8405786,1000,8406503.5,0.004279771
206.65709768,sell,8403977,1000,8403976.5,2.119991982
212.560187017,sell,8405551,1000,8404059.5,0.0030265
226.907329457,buy,8408000,187,8408000.5,2.55343599
226.909883613,buy,8408000,66,8408000.5,2.555990146
227.056683112,buy,8408000,400,8408000.5,2.702789645
230.100583341,buy,8407301,1000,8408712.5,0.0277935
231.034597415,sell,8406801,1000,8406800.5,0.597936031
304.632653148,buy,8408512,1000,8408886.5,0.684702502
333.538136126,buy,8407658,1000,8408181.5,0.090678609
333.762909793,sell,8405619,1000,8405618.5,0.182683303
347.970512224,sell,8404397,1000,8404396.5,9.42737412
360.700312081,buy,8403650,1000,8404396.5,0.002184359
366.068698186,sell,8403143,1000,8403142.5,5.222083068
396.099767035,sell,8405945,1000,8404953.5,0.038339003
401.030421296,buy,8406600,435,8406600.5,4.788101867
401.030459378,buy,8406600,6,8406600.5,4.788139949
401.03049559,buy,8406600,559,8406600.5,4.788176161
481.497318857,sell,8413674,1000,8412941.5,0.025125544
506.54125898,buy,8415836,1000,8415836.5,4.396124637
511.45322588,buy,8414822,1000,8415457.5,0.013609701
527.242336051,sell,8413704,1000,8413800.5,0
565.931106119,buy,8415597,1000,8415999.5,0.087345557
566.87444215,sell,8414614,1000,8414613.5,0.729955829
615.022651507,buy,8416969,1000,8417530.5,0.183108687
618.659493078,sell,8414529,1000,8414528.5,0.906462702
774.550353491,buy,8412650,1000,8412599.5,0.910729711
774.610537109,buy,8411850,1000,8412599.5,0.001733331
780.410310452,sell,8409823,1000,8409822.5,3.537165832
803.856189109,sell,8403001,1000,8403000.5,2.821881881
925.507279108,buy,8413011,1000,8413600.5,0.003197534
946.359084503,sell,8412573,1000,8412354.5,0.001567054
951.424280791,buy,8413280,1000,8413961.5,0.01148351
956.964808332,sell,8412801,1000,8412800.5,5.439176274
973.47280248,buy,8412269,1000,8412800.5,0.01507933
981.961600593,sell,8407115,1000,8407114.5,5.0359785
1031.691014706,sell,8410391,1000,8409400.5,0.0027124
1036.012737416,buy,8413452,1000,8413452.5,3.154334805
1056.673708094,buy,8410930,1000,8411800.5,0.001976772
1071.976275007,sell,8410185,1000,8410184.5,14.856356894
1156.581715376,buy,8418493,1000,8419157.5,0.036870588
1166.960969588,sell,8413562,1000,8413561.5,1.594599266
1328.417171684,buy,8418078,1000,8418800.5,0.059021554
1335.61927276,sell,8417401,1000,8417400.5,7.00049213
1402.001334344,buy,8421525,1000,8422011.5,0.048217034
1425.113621675,sell,8421181,1000,8420951.5,0.177994467
1444.438450982,buy,8420841,1000,8421238.5,0.002327341
1451.02890056,sell,8420680,1000,8420500.5,0.098921066
1502.912281821,sell,8424312,1000,8423800.5,0.019261568
1518.93130226,buy,8424999,371,8424999.5,15.989988937
1519.026659345,buy,8424999,600,8424999.5,16.085346022
1520.46184696,buy,8424503,1000,8424999.5,0.066241851
1527.518939833,sell,8424408,1000,8424262.5,0.035703614
1617.62227733,sell,8426760,1000,8426400.5,1.661197876
1639.431156427,buy,8433999,1000,8433999.5,1.382156449
1720.8490877,buy,8435416,1000,8435853.5,0.182278558
1733.473739601,sell,8434014,1000,8433984.5,0.018432826
