t_s,side,px_ticks,qty_lots,mid_ticks,queue_wait_s
0,buy,8400174,1000,8400600.5,0.131350996
48.756907697,buy,8399168,1000,8399600.5,0.21673007
69.825872876,sell,8399197,1000,8398840.5,0.133628576
98.102796858,sell,8400154,1000,8399763.5,1.306016134
132.147548026,sell,8401908,1000,8401484.5,0.035565508
139.982442439,sell,8404469,1000,8403801.5,0.000699177
155.393848989,sell,8405385,1000,8404691.5,0.001381025
162.579437134,buy,8405442,1000,8405479.5,0.019711428
200.094128693,buy,8406205,1000,8406503.5,0.257483366
200.096745193,buy,8406203,1000,8406503.5,0
203.820826852,buy,8404991,1000,8405500.5,0.034205398
212.557972261,sell,8404339,1000,8404059.5,0.01906461
230.076347027,buy,8408030,1000,8408712.5,0.003499671
231.03465493,sell,8406801,1000,8406800.5,0.597936031
254.225981944,sell,8407307,1000,8406801.5,0.179883677
304.632745481,buy,8408490,1000,8408886.5,1.78507472
333.538193641,buy,8407769,1000,8408181.5,2.790659791
333.762967308,sell,8405619,1000,8405618.5,0.182683303
360.699837685,buy,8403887,1000,8404396.5,0.051949342
366.074092228,sell,8403365,1000,8403142.5,0.015475139
396.082533008,sell,8405397,1000,8404953.5,0.021047461
401.031845419,buy,8406422,1000,8406600.5,0.089235237
404.91621303,sell,8407390,1000,8406800.5,0.035189763
412.379975647,buy,8409274,1000,8409454.5,0.001432162
417.010243551,sell,8409380,1000,8408786.5,0.037494515
428.615823025,buy,8411800,1000,8411999.5,0.002277243
430.925644108,sell,8411804,1000,8411164.5,0.084855879
456.334441257,sell,8412772,1000,8412202.5,0.162387836
481.492427978,sell,8413465,1000,8412941.5,0.045187163
492.693527967,sell,8414496,1000,8413783.5,0.02952777
506.541316495,buy,8415836,1000,8415836.5,4.396124637
511.440760227,buy,8415432,1000,8415457.5,0.001086533
511.464274823,buy,8414599,1000,8414588,0
511.602555752,buy,8414150,1000,8414400.5,0.002500889
527.389089078,sell,8414272,1000,8413800.5,0.045828434
565.908377848,buy,8415610,1000,8415999.5,0.414193305
565.978942194,buy,8414946,1000,8415400.5,0.013831603
566.928958194,sell,8414911,1000,8414613.5,0.054458529
567.089167259,buy,8414876,1000,8415455.5,0.009364657
581.107121706,sell,8415311,1000,8415000.5,0.000855868
587.385602336,buy,8415366,1000,8415855.5,0.041977267
598.226698485,sell,8414008,1000,8413725.5,0.065851482
602.750547642,sell,8415113,1000,8415042.5,0.028393024
614.844414362,buy,8417711,1000,8417948.5,0.014963954
615.072330059,buy,8416945,1000,8417530.5,0
617.63694849,buy,8414838,1000,8415200.5,0.062735292
618.659550593,sell,8414529,1000,8414528.5,0.906462702
618.875524877,sell,8415220,1000,8415192.5,0.001883033
625.464263606,sell,8415169,1000,8414422.5,0.007764251
636.435557305,buy,8415925,1000,8416106.5,0.094354643
636.507685342,buy,8414368,1000,8415094.5,0.052065225
646.984243131,sell,8412742,1000,8412600.5,0.00318084
774.552367538,buy,8412595,1000,8412599.5,2.872499408
774.61030475,buy,8412179,1000,8412599.5,0.001443457
780.410367967,sell,8409823,1000,8409822.5,3.537165832
785.608772406,buy,8408917,1000,8409905.5,0.014438153
803.856246624,sell,8403001,1000,8403000.5,2.821881881
804.042648495,sell,8403801,1000,8403841.5,0
807.503661866,sell,8404597,1000,8403841.5,0.036609562
811.887867953,buy,8404590,1000,8404682.5,0.001598144
811.99213498,buy,8403679,1000,8404400.5,0.0207132
819.975000593,sell,8403066,1000,8402898.5,0.020996574
820.366695029,sell,8404443,1000,8403739.5,0.009807899
848.660739695,buy,8411834,1000,8411999.5,0.03315064
851.963586659,sell,8412261,1000,8411600.5,0.001427347
852.431250588,buy,8412301,1000,8412393.5,0.053567583
852.489323561,buy,8412299,1000,8412393.5,0
872.77079013,sell,8407951,1000,8407728.5,0.022080071
873.271353437,sell,8409981,1000,8409200.5,0.001276677
915.547675565,buy,8413937,1000,8414256.5,0.193064755
925.507219429,buy,8413133,1000,8413600.5,0.00308034
946.359325417,sell,8412724,1000,8412354.5,0.537121825
946.691623494,sell,8413601,4,8413120.5,0.068706117
946.691660469,sell,8413601,996,8413120.5,0.068743092
951.414894498,buy,8413646,1000,8413961.5,0.244946348
973.472790664,buy,8412348,1000,8412800.5,0.048307738
974.115223263,buy,8410406,1000,8411200.5,0.057263978
981.961658108,sell,8407115,1000,8407114.5,5.0359785
989.572838944,sell,8407348,1000,8407114.5,0.003059424
991.994983767,sell,8408565,1000,8407955.5,0.040516142
1026.962964786,sell,8409274,1000,8408796.5,0.040867719
1031.690596499,sell,8410003,1000,8409400.5,0.002236678
1036.012794931,buy,8413452,1000,8413452.5,3.154334805
1036.038673846,buy,8412409,435,8412409.5,0.003185474
1036.047428604,buy,8412409,9,8412409.5,0.011940232
1036.125857428,buy,8412409,6,8412409.5,0.090369056
1036.125937676,buy,8412409,7,8412409.5,0.090449304
1036.125959425,buy,8412409,7,8412409.5,0.090471053
1036.1259756,buy,8412409,6,8412409.5,0.090487228
1036.125989239,buy,8412409,7,8412409.5,0.090500867
1036.126001771,buy,8412409,18,8412409.5,0.090513399
1036.126012699,buy,8412409,7,8412409.5,0.090524327
1036.126052275,buy,8412409,7,8412409.5,0.090563903
1036.126073091,buy,8412409,6,8412409.5,0.090584719
1036.126089113,buy,8412409,7,8412409.5,0.090600741
1036.12610153,buy,8412409,7,8412409.5,0.090613158
1036.12611322,buy,8412409,12,8412409.5,0.090624848
1036.126125749,buy,8412409,6,8412409.5,0.090637377
1036.126142036,buy,8412409,7,8412409.5,0.090653664
1036.126155056,buy,8412409,446,8412409.5,0.090666684
1056.672749923,buy,8411534,1000,8411800.5,0.000961086
1077.007940659,sell,8410657,1000,8410184.5,0.031306236
1090.938923179,sell,8411592,1000,8411513.5,0.091302117
1116.529303376,sell,8414306,1000,8413643.5,0.042505485
1156.572357561,buy,8419157,1000,8419157.5,4.450960156
1157.700005101,buy,8417800,1000,8417800.5,1.049012472
1157.829944252,buy,8416874,1000,8416892.5,0.074098021
1157.834368899,buy,8416807,1000,8416892.5,0
1192.307489017,sell,8413900,1000,8413561.5,0.146170445
1201.05769872,sell,8414882,1000,8414937.5,0.038144851
1209.985171347,buy,8415604,1000,8415927.5,0.260615279
1211.161725617,buy,8414740,1000,8415245.5,0.094956865
1248.077836776,sell,8412544,1000,8412174.5,0.344200808
1261.139458591,sell,8413464,1000,8413258.5,0.304902579
1261.158920866,sell,8413711,1000,8413258.5,0.000350565
1275.961397405,sell,8414415,1000,8413858.5,0.002419731
1301.97042597,sell,8416852,1000,8416184.5,0.002720089
1323.517956627,buy,8419679,1000,8419679.5,11.985545269
1324.125872927,buy,8419442,40,8419442.5,0.457694157
1324.125900424,buy,8419442,48,8419442.5,0.457721654
1324.125927165,buy,8419442,912,8419442.5,0.457748395
1324.728625566,buy,8419294,1000,8419442.5,0.052137517
1328.416637598,buy,8418495,1000,8418800.5,0.058429953
1344.007309235,sell,8419329,1000,8418808.5,0.058636249
1378.886746694,sell,8422681,1000,8422099.5,0.031769323
1390.755114996,buy,8422465,1000,8422734.5,0.037168584
1401.95800224,buy,8421645,1000,8422011.5,0.438165563
1444.43851931,buy,8420821,1000,8421238.5,0.002338154
1451.035165226,sell,8420860,1000,8420875.5,0.404042002
1451.094399729,sell,8421222,1000,8420875.5,0.054773337
1455.09463115,sell,8421928,1000,8421343.5,0.007148977
1502.912254361,sell,8424256,1000,8423800.5,0.293367366
1520.446942889,buy,8424827,1000,8424999.5,0.051280265
1544.624117689,sell,8425562,1000,8425200.5,0.10726194
1544.683484634,sell,8425782,1000,8425200.5,0.054337752
1617.622488534,sell,8426812,1000,8426400.5,3.190854782
1639.431213942,buy,8433999,1000,8433999.5,1.382156449
1639.695372154,buy,8433729,6,8433729.5,0.066797357
1639.695389311,buy,8433729,6,8433729.5,0.066814514
1639.69540405,buy,8433729,6,8433729.5,0.066829253
1639.695419865,buy,8433729,6,8433729.5,0.066845068
1639.695434446,buy,8433729,976,8433729.5,0.066859649
1641.230266725,buy,8433048,1000,8432400.5,1.402269873
1641.452453914,buy,8432400,7,8432400.5,0.143779146
1641.452480612,buy,8432400,6,8432400.5,0.143805844
1641.452504288,buy,8432400,987,8432400.5,0.14382952
1642.031273023,buy,8432400,1000,8432400.5,0.403359205
1642.228845217,buy,8431154,1000,8432000.5,0.179600526
1646.179203241,sell,8430943,1000,8430942.5,3.936546258
1661.334223157,sell,8432067,1000,8431512.5,0.007462012
1662.201305835,sell,8434717,1000,8433201.5,0.002406227
1668.678879813,buy,8435697,51,8435697.5,5.017466691
1668.678889808,buy,8435697,20,8435697.5,5.017476686
1669.241360361,buy,8435697,100,8435697.5,5.579947239
1669.305153945,buy,8435697,14,8435697.5,5.643740823
1669.305534747,buy,8435697,60,8435697.5,5.644121625
1669.305613576,buy,8435697,6,8435697.5,5.644200454
1669.305889807,buy,8435697,106,8435697.5,5.644476685
1669.641773779,buy,8435697,297,8435697.5,5.980360657
1669.647649937,buy,8435697,346,8435697.5,5.986236815
1680.313017394,buy,8437423,1000,8437499.5,0.004396799
1720.849145215,buy,8435421,1000,8435853.5,0.205188737
1727.619925523,buy,8434467,1000,8433984.5,0.185859963
1733.473797116,sell,8434093,1000,8433984.5,0.098612607
