t_s,mid_ticks,inv_btc,pnl_usdt
0.004060272,8401400.5,0,0
1.004559085,8401400.5,0,0
2.004702153,8401400.5,0,0
3.004544674,8401400.5,0,0
4.005328553,8401400.5,0,0
5.005766113,8401400.5,0,0
6.005458767,8401400.5,0,0
7.006804272,8401400.5,0,0
8.006262665,8401400.5,0,0
9.006861334,8400818.5,0,0
10.007772608,8400600.5,0,0
11.007591916,8400011.5,0.01,-0.0162499999999962
12.007071944,8400011.5,0.01,-0.0162499999999962
13.007595816,8400011.5,0.01,-0.0162499999999962
14.008664554,8400011.5,0.01,-0.0162499999999962
15.100135822,8400011.5,0.01,-0.0162499999999962
16.101029385,8400011.5,0.01,-0.0162499999999962
17.100117108,8400011.5,0.01,-0.0162499999999962
18.100442301,8400011.5,0.01,-0.0162499999999962
19.101426701,8400011.5,0.01,-0.0162499999999962
20.099858221,8400011.5,0.01,-0.0162499999999962
21.098050543,8400011.5,0.01,-0.0162499999999962
22.099475114,8400011.5,0.01,-0.0162499999999962
23.085471258,8400011.5,0.01,-0.0162499999999962
24.08456997,8400011.5,0.01,-0.0162499999999962
25.082988981,8400011.5,0.01,-0.0162499999999962
26.083183113,8400011.5,0.01,-0.0162499999999962
27.083654687,8400011.5,0.01,-0.0162499999999962
28.083984106,8400011.5,0.01,-0.0162499999999962
29.084767549,8400011.5,0.01,-0.0162499999999962
30.084574367,8400011.5,0.01,-0.0162499999999962
31.084391353,8400011.5,0.01,-0.0162499999999962
32.085795668,8400011.5,0.01,-0.0162499999999962
33.085101869,8400011.5,0.01,-0.0162499999999962
34.085503165,8400011.5,0.01,-0.0162499999999962
35.085758861,8400011.5,0.01,-0.0162499999999962
36.086368736,8400011.5,0.01,-0.0162499999999962
37.086083001,8400011.5,0.01,-0.0162499999999962
38.086013474,8400011.5,0.01,-0.0162499999999962
39.087048046,8400011.5,0.01,-0.0162499999999962
40.087187015,8400011.5,0.01,-0.0162499999999962
41.087065117,8400011.5,0.01,-0.0162499999999962
42.087657642,8400011.5,0.01,-0.0162499999999962
43.088615682,8400011.5,0.01,-0.0162499999999962
44.087415345,8400011.5,0.01,-0.0162499999999962
45.087637665,8400011.5,0.01,-0.0162499999999962
46.08777478,8400011.5,0.01,-0.0162499999999962
47.088072909,8400011.5,0.01,-0.0162499999999962
48.089016033,8400011.5,0.01,-0.0162499999999962
49.088786708,8400011.5,0.01,-0.0162499999999962
50.025864564,8400011.5,0.01,-0.0162499999999962
51.089520381,8400011.5,0.01,-0.0162499999999962
52.090443482,8400011.5,0.01,-0.0162499999999962
53.089464083,8400011.5,0.01,-0.0162499999999962
54.091444918,8400011.5,0.01,-0.0162499999999962
55.090278235,8400011.5,0.01,-0.0162499999999962
56.090849518,8400011.5,0.01,-0.0162499999999962
57.09250323,8399600.5,0.01,-0.057350000000002
58.094214017,8399600.5,0.01,-0.057350000000002
59.09101622,8398840.5,0.02,-0.166100000000135
60.091925494,8398840.5,0.02,-0.166100000000135
61.092624087,8398840.5,0.02,-0.166100000000135
62.091803962,8398840.5,0.02,-0.166100000000135
63.093694368,8398840.5,0.02,-0.166100000000135
64.093558763,8398840.5,0.02,-0.166100000000135
65.093833338,8398840.5,0.02,-0.166100000000135
66.09272466,8398840.5,0.02,-0.166100000000135
67.093530778,8398840.5,0.02,-0.166100000000135
68.093768306,8398840.5,0.02,-0.166100000000135
69.093834457,8398840.5,0.02,-0.166100000000135
70.094408468,8398840.5,0.02,-0.166100000000135
71.094719759,8398840.5,0.02,-0.166100000000135
72.095605397,8398840.5,0.02,-0.166100000000135
73.095331778,8398840.5,0.02,-0.166100000000135
74.095260461,8398840.5,0.02,-0.166100000000135
75.088558906,8398840.5,0.02,-0.166100000000135
76.089135874,8398840.5,0.02,-0.166100000000135
77.090161698,8398840.5,0.02,-0.166100000000135
78.089815601,8398840.5,0.02,-0.166100000000135
79.09061905,8398840.5,0.02,-0.166100000000135
80.090920526,8399680.5,0.01,-0.0464500000000187
81.091139302,8399680.5,0.01,-0.0464500000000187
82.092458104,8399680.5,0.01,-0.0464500000000187
83.091611884,8399680.5,0.01,-0.0464500000000187
84.093749331,8399680.5,0.01,-0.0464500000000187
85.09272193,8399680.5,0.01,-0.0464500000000187
86.093778842,8399680.5,0.01,-0.0464500000000187
87.092965979,8399680.5,0.01,-0.0464500000000187
88.092821989,8399680.5,0.01,-0.0464500000000187
89.092862093,8399680.5,0.01,-0.0464500000000187
90.097090401,8399680.5,0.01,-0.0464500000000187
91.09407163,8399680.5,0.01,-0.0464500000000187
92.092483157,8399680.5,0.01,-0.0464500000000187
93.091467966,8399680.5,0.01,-0.0464500000000187
94.089716247,8399680.5,0.01,-0.0464500000000187
95.089941602,8399680.5,0.01,-0.0464500000000187
96.089523963,8399680.5,0.01,-0.0464500000000187
97.090738298,8399680.5,0.01,-0.0464500000000187
98.091805025,8399680.5,0.01,-0.0464500000000187
99.090024765,8399680.5,0.01,-0.0464500000000187
100.090761762,8399680.5,0.01,-0.0464500000000187
101.092358887,8399680.5,0.01,-0.0464500000000187
102.091458579,8399680.5,0.01,-0.0464500000000187
103.091899978,8399680.5,0.01,-0.0464500000000187
104.092299365,8399763.5,0.01,-0.0381500000001468
105.085080983,8399763.5,0.01,-0.0381500000001468
106.086015253,8399763.5,0.01,-0.0381500000001468
107.086372676,8399763.5,0.01,-0.0381500000001468
108.087506701,8399763.5,0.01,-0.0381500000001468
109.086940941,8401095.5,0,0.000900000000115142
110.103733628,8401095.5,0,0.000900000000115142
111.086968816,8401484.5,0,0.000900000000115142
112.086398133,8401484.5,0,0.000900000000115142
113.098380639,8401484.5,0,0.000900000000115142
114.099032075,8401484.5,0,0.000900000000115142
115.099170788,8401484.5,0,0.000900000000115142
116.098931197,8401484.5,0,0.000900000000115142
117.100538184,8401484.5,0,0.000900000000115142
118.100254181,8401484.5,0,0.000900000000115142
119.100811857,8401484.5,0,0.000900000000115142
120.101163644,8401484.5,0,0.000900000000115142
121.101354037,8401484.5,0,0.000900000000115142
122.10215045,8401484.5,0,0.000900000000115142
123.102333799,8401484.5,0,0.000900000000115142
124.103219327,8401484.5,0,0.000900000000115142
125.102798874,8401484.5,0,0.000900000000115142
126.102577238,8401484.5,0,0.000900000000115142
127.105842906,8401484.5,0,0.000900000000115142
128.102901095,8401484.5,0,0.000900000000115142
129.103570567,8401484.5,0,0.000900000000115142
130.130431202,8401484.5,0,0.000900000000115142
131.004552161,8401484.5,0,0.000900000000115142
132.103074643,8401484.5,0,0.000900000000115142
133.004736205,8401484.5,0,0.000900000000115142
134.103154884,8401484.5,0,0.000900000000115142
135.098358095,8401484.5,0,0.000900000000115142
136.098576597,8401484.5,0,0.000900000000115142
137.09796087,8401484.5,0,0.000900000000115142
138.098199433,8401484.5,0,0.000900000000115142
139.099277209,8401484.5,0,0.000900000000115142
140.098675263,8401484.5,0,0.000900000000115142
141.099904408,8401484.5,0,0.000900000000115142
142.099353305,8401484.5,0,0.000900000000115142
143.099835618,8402200.5,-0.01,-0.0283499999998678
144.100768535,8402200.5,-0.01,-0.0283499999998678
145.100262589,8402200.5,-0.01,-0.0283499999998678
146.099984908,8402200.5,-0.01,-0.0283499999998678
147.100658272,8402200.5,-0.01,-0.0283499999998678
148.100176689,8402849.5,-0.01,-0.0932499999997747
149.10074022,8403200.5,-0.01,-0.128349999999868
150.100805613,8403801.5,-0.01,-0.188449999999815
151.101223437,8404691.5,-0.02,-0.299699999999974
152.102162556,8404691.5,-0.02,-0.299699999999974
153.102440367,8404691.5,-0.02,-0.299699999999974
154.101510285,8404691.5,-0.02,-0.299699999999974
155.101937309,8404691.5,-0.02,-0.299699999999974
156.102031748,8404691.5,-0.02,-0.299699999999974
157.101503854,8404691.5,-0.02,-0.299699999999974
158.10423339,8404691.5,-0.02,-0.299699999999974
159.103119439,8404691.5,-0.02,-0.299699999999974
160.102289107,8404691.5,-0.02,-0.299699999999974
161.102835191,8404691.5,-0.02,-0.299699999999974
162.103562771,8404691.5,-0.02,-0.299699999999974
163.1033177,8404691.5,-0.02,-0.299699999999974
164.103305854,8404691.5,-0.02,-0.299699999999974
165.097108271,8404691.5,-0.02,-0.299699999999974
166.097272733,8405479.5,-0.03,-0.466749999999809
167.097489283,8405479.5,-0.03,-0.466749999999809
168.097853886,8405479.5,-0.03,-0.466749999999809
169.097342669,8405479.5,-0.03,-0.466749999999809
170.099433448,8405479.5,-0.03,-0.466749999999809
171.097888668,8405479.5,-0.03,-0.466749999999809
172.098382588,8405479.5,-0.03,-0.466749999999809
173.099850519,8404691.5,-0.02,-0.305399999999907
174.09809904,8404691.5,-0.02,-0.305399999999907
175.098924981,8404691.5,-0.02,-0.305399999999907
176.101567116,8404691.5,-0.02,-0.305399999999907
177.09953745,8404691.5,-0.02,-0.305399999999907
178.099491459,8404691.5,-0.02,-0.305399999999907
179.100447692,8404691.5,-0.02,-0.305399999999907
180.10051867,8404691.5,-0.02,-0.305399999999907
181.100621455,8404691.5,-0.02,-0.305399999999907
182.100335845,8404691.5,-0.02,-0.305399999999907
183.101544793,8404691.5,-0.02,-0.305399999999907
184.101349793,8404691.5,-0.02,-0.305399999999907
185.103030261,8404691.5,-0.02,-0.305399999999907
186.101604105,8404691.5,-0.02,-0.305399999999907
187.102496763,8404691.5,-0.02,-0.305399999999907
188.101482788,8404691.5,-0.02,-0.305399999999907
189.101682646,8404691.5,-0.02,-0.305399999999907
190.102253723,8405000.5,-0.02,-0.367199999999837
191.101758212,8405000.5,-0.02,-0.367199999999837
192.102164425,8405000.5,-0.02,-0.367199999999837
193.1016918,8405000.5,-0.02,-0.367199999999837
194.104492292,8405400.5,-0.02,-0.447199999999837
195.097314141,8405400.5,-0.02,-0.447199999999837
196.096807707,8405400.5,-0.02,-0.447199999999837
197.084568926,8405412.5,-0.02,-0.449599999999744
