t_s,mid_ticks,inv_btc,pnl_usdt
0.004060272,8401400.5,0,0
1.004559085,8401400.5,0,0
2.004702153,8401400.5,0,0
3.004544674,8401400.5,0,0
4.005328553,8401400.5,0,0
5.005766113,8401400.5,0,0
6.005458767,8401400.5,0,0
7.006804272,8401400.5,0,0
8.006262665,8401400.5,0,0
9.006861334,8400818.5,0.02,-0.0943000000005045
10.007772608,8400600.5,0.03,-0.158650000000255
11.007591916,8400011.5,0.04,-0.393200000000364
12.007071944,8400011.5,0.04,-0.393200000000364
13.007595816,8400011.5,0.04,-0.393200000000364
14.008664554,8400011.5,0.04,-0.393200000000364
15.100135822,8400011.5,0.04,-0.393200000000364
16.101029385,8400011.5,0.04,-0.393200000000364
17.100117108,8400011.5,0.04,-0.393200000000364
18.100442301,8400011.5,0.04,-0.393200000000364
19.101426701,8400011.5,0.04,-0.393200000000364
20.099858221,8400011.5,0.04,-0.393200000000364
21.098050543,8400011.5,0.04,-0.393200000000364
22.099475114,8400011.5,0.04,-0.393200000000364
23.085471258,8400011.5,0.04,-0.393200000000364
24.08456997,8400011.5,0.04,-0.393200000000364
25.082988981,8400011.5,0.04,-0.393200000000364
26.083183113,8400011.5,0.04,-0.393200000000364
27.083654687,8400011.5,0.04,-0.393200000000364
28.083984106,8400011.5,0.04,-0.393200000000364
29.084767549,8400011.5,0.04,-0.393200000000364
30.084574367,8400011.5,0.04,-0.393200000000364
31.084391353,8400011.5,0.04,-0.393200000000364
32.085795668,8400011.5,0.04,-0.393200000000364
33.085101869,8400011.5,0.04,-0.393200000000364
34.085503165,8400011.5,0.04,-0.393200000000364
35.085758861,8400011.5,0.04,-0.393200000000364
36.086368736,8400011.5,0.04,-0.393200000000364
37.086083001,8400011.5,0.04,-0.393200000000364
38.086013474,8400011.5,0.04,-0.393200000000364
39.087048046,8400011.5,0.04,-0.393200000000364
40.087187015,8400011.5,0.04,-0.393200000000364
41.087065117,8400011.5,0.04,-0.393200000000364
42.087657642,8400011.5,0.04,-0.393200000000364
43.088615682,8400011.5,0.04,-0.393200000000364
44.087415345,8400011.5,0.04,-0.393200000000364
45.087637665,8400011.5,0.04,-0.393200000000364
46.08777478,8400011.5,0.04,-0.393200000000364
47.088072909,8400011.5,0.04,-0.393200000000364
48.089016033,8400011.5,0.04,-0.393200000000364
49.088786708,8400011.5,0.04,-0.393200000000364
50.025864564,8400011.5,0.04,-0.393200000000364
51.089520381,8400011.5,0.04,-0.393200000000364
52.090443482,8400011.5,0.04,-0.393200000000364
53.089464083,8400011.5,0.04,-0.393200000000364
54.091444918,8400011.5,0.04,-0.393200000000364
55.090278235,8400011.5,0.04,-0.393200000000364
56.090849518,8400011.5,0.04,-0.393200000000364
57.09250323,8399600.5,0.06,-0.61660000000073
58.094214017,8399600.5,0.06,-0.61660000000073
59.09101622,8398840.5,0.07,-1.14755000000003
60.091925494,8398840.5,0.07,-1.14755000000003
61.092624087,8398840.5,0.07,-1.14755000000003
62.091803962,8398840.5,0.07,-1.14755000000003
63.093694368,8398840.5,0.07,-1.14755000000003
64.093558763,8398840.5,0.07,-1.14755000000003
65.093833338,8398840.5,0.07,-1.14755000000003
66.09272466,8398840.5,0.07,-1.14755000000003
67.093530778,8398840.5,0.07,-1.14755000000003
68.093768306,8398840.5,0.07,-1.14755000000003
69.093834457,8398840.5,0.07,-1.14755000000003
70.094408468,8398840.5,0.07,-1.14755000000003
71.094719759,8398840.5,0.07,-1.14755000000003
72.095605397,8398840.5,0.07,-1.14755000000003
73.095331778,8398840.5,0.07,-1.14755000000003
74.095260461,8398840.5,0.07,-1.14755000000003
75.088558906,8398840.5,0.07,-1.14755000000003
76.089135874,8398840.5,0.07,-1.14755000000003
77.090161698,8398840.5,0.07,-1.14755000000003
78.089815601,8398840.5,0.07,-1.14755000000003
79.09061905,8398840.5,0.07,-1.14755000000003
80.090920526,8399680.5,0.06,-0.642500000000259
81.091139302,8399680.5,0.06,-0.642500000000259
82.092458104,8399680.5,0.06,-0.642500000000259
83.091611884,8399680.5,0.06,-0.642500000000259
84.093749331,8399680.5,0.06,-0.642500000000259
85.09272193,8399680.5,0.06,-0.642500000000259
86.093778842,8399680.5,0.06,-0.642500000000259
87.092965979,8399680.5,0.06,-0.642500000000259
88.092821989,8399680.5,0.06,-0.642500000000259
89.092862093,8399680.5,0.06,-0.642500000000259
90.097090401,8399680.5,0.06,-0.642500000000259
91.09407163,8399680.5,0.06,-0.642500000000259
92.092483157,8399680.5,0.06,-0.642500000000259
93.091467966,8399680.5,0.06,-0.642500000000259
94.089716247,8399680.5,0.06,-0.642500000000259
95.089941602,8399680.5,0.06,-0.642500000000259
96.089523963,8399680.5,0.06,-0.642500000000259
97.090738298,8399680.5,0.06,-0.642500000000259
98.091805025,8399680.5,0.06,-0.642500000000259
99.090024765,8399680.5,0.06,-0.642500000000259
100.090761762,8399680.5,0.06,-0.642500000000259
101.092358887,8399680.5,0.06,-0.642500000000259
102.091458579,8399680.5,0.06,-0.642500000000259
103.091899978,8399680.5,0.06,-0.642500000000259
104.092299365,8399763.5,0.05,-0.599949999999721
105.085080983,8399763.5,0.05,-0.599949999999721
106.086015253,8399763.5,0.05,-0.599949999999721
107.086372676,8399763.5,0.05,-0.599949999999721
108.087506701,8399763.5,0.05,-0.599949999999721
109.086940941,8401095.5,0.04,-0.0660999999999177
110.103733628,8401095.5,0.04,-0.0660999999999177
111.086968816,8401484.5,0.03,0.0516500000002977
112.086398133,8401484.5,0.03,0.0516500000002977
113.098380639,8401484.5,0.03,0.0516500000002977
114.099032075,8401484.5,0.03,0.0516500000002977
115.099170788,8401484.5,0.03,0.0516500000002977
116.098931197,8401484.5,0.03,0.0516500000002977
117.100538184,8401484.5,0.03,0.0516500000002977
118.100254181,8401484.5,0.03,0.0516500000002977
119.100811857,8401484.5,0.03,0.0516500000002977
120.101163644,8401484.5,0.03,0.0516500000002977
121.101354037,8401484.5,0.03,0.0516500000002977
122.10215045,8401484.5,0.03,0.0516500000002977
123.102333799,8401484.5,0.03,0.0516500000002977
124.103219327,8401484.5,0.03,0.0516500000002977
125.102798874,8401484.5,0.03,0.0516500000002977
126.102577238,8401484.5,0.03,0.0516500000002977
127.105842906,8401484.5,0.03,0.0516500000002977
128.102901095,8401484.5,0.03,0.0516500000002977
129.103570567,8401484.5,0.03,0.0516500000002977
130.130431202,8401484.5,0.03,0.0516500000002977
131.004552161,8401484.5,0.03,0.0516500000002977
132.103074643,8401484.5,0.03,0.0516500000002977
133.004736205,8401484.5,0.03,0.0516500000002977
134.103154884,8401484.5,0.03,0.0516500000002977
135.098358095,8401484.5,0.03,0.0516500000002977
136.098576597,8401484.5,0.03,0.0516500000002977
137.09796087,8401484.5,0.03,0.0516500000002977
138.098199433,8401484.5,0.03,0.0516500000002977
139.099277209,8401484.5,0.03,0.0516500000002977
140.098675263,8401484.5,0.03,0.0516500000002977
141.099904408,8401484.5,0.03,0.0516500000002977
142.099353305,8401484.5,0.03,0.0516500000002977
143.099835618,8402200.5,0.01,0.176950000000083
144.100768535,8402200.5,0.01,0.176950000000083
145.100262589,8402200.5,0.01,0.176950000000083
146.099984908,8402200.5,0.01,0.176950000000083
147.100658272,8402200.5,0.01,0.176950000000083
148.100176689,8402849.5,-0.01,0.134150000000214
149.10074022,8403200.5,-0.02,0.0650000000000014
150.100805613,8403801.5,-0.04,-0.122200000000009
151.101223437,8404691.5,-0.05,-0.566150000000358
152.102162556,8404691.5,-0.05,-0.566150000000358
153.102440367,8404691.5,-0.05,-0.566150000000358
154.101510285,8404691.5,-0.05,-0.566150000000358
155.101937309,8404691.5,-0.05,-0.566150000000358
156.102031748,8404691.5,-0.05,-0.566150000000358
157.101503854,8404691.5,-0.05,-0.566150000000358
158.10423339,8404691.5,-0.05,-0.566150000000358
159.103119439,8404691.5,-0.05,-0.566150000000358
160.102289107,8404691.5,-0.05,-0.566150000000358
161.102835191,8404691.5,-0.05,-0.566150000000358
162.103562771,8404691.5,-0.05,-0.566150000000358
163.1033177,8404691.5,-0.05,-0.566150000000358
164.103305854,8404691.5,-0.05,-0.566150000000358
165.097108271,8404691.5,-0.05,-0.566150000000358
166.097272733,8405479.5,-0.06,-1.0379000000007
167.097489283,8405479.5,-0.06,-1.0379000000007
168.097853886,8405479.5,-0.06,-1.0379000000007
169.097342669,8405479.5,-0.06,-1.0379000000007
170.099433448,8405479.5,-0.06,-1.0379000000007
171.097888668,8405479.5,-0.06,-1.0379000000007
172.098382588,8405479.5,-0.06,-1.0379000000007
173.099850519,8404691.5,-0.05,-0.642850000000886
174.09809904,8404691.5,-0.05,-0.642850000000886
175.098924981,8404691.5,-0.05,-0.642850000000886
176.101567116,8404691.5,-0.05,-0.642850000000886
177.09953745,8404691.5,-0.05,-0.642850000000886
178.099491459,8404691.5,-0.05,-0.642850000000886
179.100447692,8404691.5,-0.05,-0.642850000000886
180.10051867,8404691.5,-0.05,-0.642850000000886
181.100621455,8404691.5,-0.05,-0.642850000000886
182.100335845,8404691.5,-0.05,-0.642850000000886
183.101544793,8404691.5,-0.05,-0.642850000000886
184.101349793,8404691.5,-0.05,-0.642850000000886
185.103030261,8404691.5,-0.05,-0.642850000000886
186.101604105,8404691.5,-0.05,-0.642850000000886
187.102496763,8404691.5,-0.05,-0.642850000000886
188.101482788,8404691.5,-0.05,-0.642850000000886
189.101682646,8404691.5,-0.05,-0.642850000000886
190.102253723,8405000.5,-0.06,-0.827200000001317
191.101758212,8405000.5,-0.06,-0.827200000001317
192.102164425,8405000.5,-0.06,-0.827200000001317
193.1016918,8405000.5,-0.06,-0.827200000001317
194.104492292,8405400.5,-0.07,-1.10615000000098
195.097314141,8405400.5,-0.07,-1.10615000000098
196.096807707,8405400.5,-0.07,-1.10615000000098
197.084568926,8405412.5,-0.08,-1.1147000000003
