t_s,side,px_ticks,qty_lots,mid_ticks,queue_wait_s
0,buy,8401398,12,8401400.5,8.534546437
1.6539e-05,buy,8401398,988,8401400.5,8.534562976
0.047470833,buy,8401198,1000,8401200.5,0.000563248
1.420520948,buy,8400816,12,8400818.5,1.200224234
1.420535865,buy,8400816,988,8400818.5,1.200239151
1.549903449,buy,8400598,1000,8400600.5,0.116382662
48.303043792,buy,8400009,11,8400011.5,46.620642647
48.303055466,buy,8400009,7,8400011.5,46.620654321
48.303067685,buy,8400009,7,8400011.5,46.62066654
48.303079595,buy,8400009,7,8400011.5,46.62067845
48.30309165,buy,8400009,7,8400011.5,46.620690505
48.303103934,buy,8400009,6,8400011.5,46.620702789
48.30311686,buy,8400009,7,8400011.5,46.620715715
48.303129383,buy,8400009,7,8400011.5,46.620728238
48.303140107,buy,8400009,7,8400011.5,46.620738962
48.303152,buy,8400009,934,8400011.5,46.620750855
48.323782598,buy,8399798,1000,8399800.5,0.000493163
50.321468351,buy,8399598,12,8399600.5,1.838258658
50.321481207,buy,8399598,988,8399600.5,1.838271514
71.388753071,sell,8398843,1000,8398840.5,20.964519849
94.74158713,sell,8399683,12,8399680.5,23.269140073
94.7416101,sell,8399683,988,8399680.5,23.269163043
99.666879515,sell,8399766,12,8399763.5,4.786370282
99.666908774,sell,8399766,988,8399763.5,4.786399541
101.531318844,sell,8401098,12,8401095.5,1.731806949
101.531326131,sell,8401098,988,8401095.5,1.731814236
133.68073108,sell,8401487,12,8401484.5,32.001724929
133.680737847,sell,8401487,988,8401484.5,32.001731696
133.755950709,sell,8402003,1000,8402000.5,0
139.146945589,sell,8402203,12,8402200.5,5.258599887
139.146967024,sell,8402203,7,8402200.5,5.258621322
139.146988317,sell,8402203,7,8402200.5,5.258642615
139.147009777,sell,8402203,6,8402200.5,5.258664075
139.14703155,sell,8402203,968,8402200.5,5.258685848
139.226917311,sell,8402403,1000,8402400.5,0.000647815
139.54338468,sell,8402852,1000,8402849.5,0.213568525
141.271676435,sell,8403203,12,8403200.5,1.615127037
141.271695484,sell,8403203,988,8403200.5,1.615146086
141.378361985,sell,8403714,7,8403711.5,0.037004224
141.378374076,sell,8403714,7,8403711.5,0.037016315
141.378386156,sell,8403714,7,8403711.5,0.037028395
141.378397587,sell,8403714,7,8403711.5,0.037039826
141.378414378,sell,8403714,7,8403711.5,0.037056617
141.378430119,sell,8403714,965,8403711.5,0.037072358
141.546960292,sell,8403804,1000,8403801.5,0.122484574
156.957892177,sell,8404694,12,8404691.5,15.297573126
156.957906238,sell,8404694,988,8404691.5,15.297587187
164.144308917,buy,8405477,1000,8405479.5,7.064305463
181.020953728,sell,8404694,1000,8404691.5,16.708173942
185.133440992,sell,8405003,12,8405000.5,3.989698704
185.133460369,sell,8405003,988,8405000.5,3.989718081
188.081589889,sell,8405403,12,8405400.5,2.785794464
188.081605463,sell,8405403,988,8405400.5,2.785810038
188.784962354,sell,8405415,1000,8405412.5,0.626988621
190.231244312,sell,8405603,1000,8405600.5,1.380418789
201.658317844,buy,8406501,11,8406503.5,7.259376707
201.658342044,buy,8406501,7,8406503.5,7.259400907
201.658366646,buy,8406501,7,8406503.5,7.259425509
201.658389699,buy,8406501,7,8406503.5,7.259448562
201.658412188,buy,8406501,968,8406503.5,7.259471051
205.359345386,buy,8405498,12,8405500.5,3.556982484
205.384742712,buy,8405498,988,8405500.5,3.58237981
205.92800783,buy,8404798,1000,8404800.5,0.464004824
210.602507739,sell,8403979,1000,8403976.5,4.500472743
213.52884385,sell,8404003,12,8404000.5,2.89129367
213.528855572,sell,8404003,988,8404000.5,2.891305392
214.122668819,sell,8404062,1000,8404059.5,0.420179909
231.638748403,buy,8408710,1000,8408712.5,0.336502689
231.869362886,buy,8407159,1000,8407161.5,0.067702475
255.789996985,sell,8406803,6,8406801.5,23.788406303
255.790008301,sell,8406803,994,8406801.5,23.788417619
261.254057266,sell,8407496,6,8407494.5,2.454380461
261.254075382,sell,8407496,994,8407494.5,2.454398577
306.171872783,buy,8408884,7,8408886.5,17.958088342
306.171882085,buy,8408884,7,8408886.5,17.958097644
306.171891345,buy,8408884,7,8408886.5,17.958106904
306.171899985,buy,8408884,979,8408886.5,17.958115544
306.286041158,buy,8408198,1000,8408200.5,0.037227082
335.091740487,buy,8408179,12,8408181.5,28.757026391
335.091748128,buy,8408179,988,8408181.5,28.757034032
335.145155788,buy,8405773,1000,8405775.5,0
335.384802114,buy,8405616,1000,8405618.5,0.070238991
339.943278321,buy,8404785,12,8404787.5,4.502783935
339.943291549,buy,8404785,988,8404787.5,4.502797163
362.263696854,buy,8404394,12,8404396.5,22.155629452
362.263715492,buy,8404394,988,8404396.5,22.15564809
367.638468086,sell,8403145,1000,8403142.5,5.22692367
368.078038672,sell,8403986,1000,8403983.5,0.269236875
368.185088708,sell,8404390,1000,8404387.5,0.000787505
368.254938969,sell,8404705,1000,8404702.5,0.002521265
377.611469697,sell,8404803,12,8404800.5,9.203149751
377.612971494,sell,8404803,988,8404800.5,9.204651548
377.645087977,sell,8405002,1000,8404999.5,0.001188277
384.943912813,buy,8405198,1000,8405200.5,7.138319408
397.641966914,sell,8404956,1000,8404953.5,12.530785947
402.596300315,buy,8406598,1000,8406600.5,4.789051588
405.014812245,sell,8406348,1000,8406345.5,2.308312202
405.150208415,sell,8406603,1000,8406600.5,0.022474633
413.944400894,buy,8409452,6,8409454.5,6.632524715
413.944417786,buy,8409452,994,8409454.5,6.632541607
415.957519063,buy,8409026,12,8409028.5,1.847663412
415.957528174,buy,8409026,7,8409028.5,1.847672523
415.957536581,buy,8409026,981,8409028.5,1.84768093
418.409997136,sell,8408655,1000,8408786.5,2.299459691
418.538161448,sell,8408789,1000,8408786.5,0.027227748
430.180225988,buy,8411997,1000,8411999.5,4.568360289
432.489934798,sell,8411167,1000,8411164.5,2.184608555
442.772093617,buy,8412198,1000,8412200.5,1.664713115
442.896864827,buy,8412166,1000,8412168.5,0.00137289
447.808802531,sell,8412002,1000,8412200.5,4.82006505
457.768337108,sell,8412203,12,8412200.5,9.859214843
457.76835838,sell,8412203,11,8412200.5,9.859236115
457.768710007,sell,8412203,1,8412200.5,9.859587742
457.768769958,sell,8412203,7,8412200.5,9.859647693
457.898161921,sell,8412205,1000,8412202.5,0.029928854
468.615916113,buy,8413074,1000,8413076.5,10.609202055
483.037498778,sell,8412944,1000,8412941.5,14.227600564
508.106797623,buy,8415834,1000,8415836.5,4.396733982
513.005600399,buy,8415455,12,8415457.5,4.84674986
513.005616193,buy,8415455,988,8415457.5,4.846765654
513.029146606,buy,8414586,1000,8414588,0
513.167108926,buy,8414398,1000,8414400.5,0.00218228
513.245202931,buy,8414084,1000,8414086.5,0.000409273
528.807265349,sell,8413603,1000,8413800.5,15.395762196
528.953651171,sell,8413803,1000,8413800.5,0.045518744
535.764652998,sell,8414445,12,8414442.5,6.656388051
535.764698616,sell,8414445,988,8414442.5,6.656433669
535.866303834,sell,8414762,1000,8414759.5,0.000296011
536.048735976,sell,8415287,1000,8415284.5,0.086227456
567.459760869,buy,8415997,11,8415999.5,23.449836395
567.45977861,buy,8415997,7,8415999.5,23.449854136
567.459795668,buy,8415997,7,8415999.5,23.449871194
567.459812793,buy,8415997,7,8415999.5,23.449888319
567.45986991,buy,8415997,968,8415999.5,23.449945436
567.543303417,buy,8415398,1000,8415400.5,0.013321043
568.441886963,sell,8414616,1000,8414613.5,0.732471344
568.653457862,buy,8415453,1000,8415455.5,0.121571708
579.831146955,sell,8414724,12,8414721.5,11.020250971
579.831659134,sell,8414724,988,8414721.5,11.02076315
582.671758538,sell,8415003,12,8415000.5,2.679784378
582.671770008,sell,8415003,988,8415000.5,2.679795848
588.949556101,buy,8415853,1000,8415855.5,5.543859475
595.674277276,buy,8415197,12,8415199.5,6.567280033
595.674288293,buy,8415197,988,8415199.5,6.56729105
597.584935749,buy,8414719,12,8414721.5,1.777472175
597.584945992,buy,8414719,988,8414721.5,1.777482418
597.778861691,buy,8414198,1000,8414200.5,0.070600926
599.781406692,sell,8413728,1000,8413725.5,1.871387823
604.29630888,sell,8414570,12,8414567.5,4.471922051
604.296328314,sell,8414570,7,8414567.5,4.471941485
604.296348762,sell,8414570,7,8414567.5,4.471961933
604.296371138,sell,8414570,7,8414567.5,4.471984309
604.296432846,sell,8414570,967,8414567.5,4.472046017
604.402176221,sell,8415045,1000,8415042.5,0
607.002237256,sell,8415403,12,8415400.5,2.492985891
607.002252419,sell,8415403,988,8415400.5,2.493001054
616.409086503,buy,8417946,1000,8417948.5,1.114827425
616.637201842,buy,8417528,1000,8417530.5,0
616.717106547,buy,8416823,1000,8416825.5,0.056400829
619.144726111,buy,8415998,12,8416000.5,2.297555213
619.144769473,buy,8415998,988,8416000.5,2.297598575
619.294055991,buy,8415198,1000,8414528.5,0
620.239840192,sell,8414531,7,8414528.5,0.921880518
620.239880879,sell,8414531,7,8414528.5,0.921921205
620.239915232,sell,8414531,7,8414528.5,0.921955558
620.239948838,sell,8414531,7,8414528.5,0.921989164
620.239983229,sell,8414531,7,8414528.5,0.922023555
620.240016651,sell,8414531,7,8414528.5,0.922056977
620.240049215,sell,8414531,7,8414528.5,0.922089541
620.240081273,sell,8414531,951,8414528.5,0.922121599
620.44039666,sell,8415195,1000,8415192.5,0.046284737
620.57934342,sell,8415373,1000,8415370.5,0.045335549
620.801057899,sell,8415998,1000,8415995.5,0.106340927
622.466258182,buy,8416070,1000,8416072.5,1.470672756
622.782241478,buy,8415387,1000,8415389.5,0.187207636
623.307814039,buy,8414696,1000,8414698.5,0.412039177
627.026019333,sell,8414425,6,8414422.5,3.531469699
627.026049599,sell,8414425,994,8414422.5,3.531499965
627.378371212,sell,8415267,1000,8415264.5,0.267447431
627.541884236,sell,8415999,1000,8415996.5,0.046329187
638.000242893,buy,8416104,1000,8416106.5,10.304103914
638.0204919,buy,8415092,1000,8415094.5,0
638.16005922,buy,8413998,1000,8414000.5,0
638.553264649,buy,8413925,1000,8413927.5,0.247396195
639.239071092,buy,8413109,1000,8413111.5,0.533675022
648.548960863,sell,8412603,6,8412600.5,9.142980241
648.548983646,sell,8412603,994,8412600.5,9.143003024
659.708630995,sell,8413001,204,8412999.5,11.045986965
659.708644514,sell,8413001,12,8412999.5,11.046000484
659.70865726,sell,8413001,7,8412999.5,11.04601323
659.708669972,sell,8413001,7,8412999.5,11.046025942
659.708683458,sell,8413001,7,8412999.5,11.046039428
659.708696639,sell,8413001,7,8412999.5,11.046052609
659.708709655,sell,8413001,7,8412999.5,11.046065625
659.708732836,sell,8413001,7,8412999.5,11.046088806
659.708748713,sell,8413001,7,8412999.5,11.046104683
659.708763618,sell,8413001,7,8412999.5,11.046119588
659.708776861,sell,8413001,728,8412999.5,11.046132831
668.002015066,buy,8413497,12,8413499.5,8.203994928
668.002022643,buy,8413497,988,8413499.5,8.204002505
668.09360608,buy,8413398,1000,8413400.5,0.000514872
672.067008585,sell,8413003,1000,8413000.5,3.861677111
672.370195269,sell,8413364,1000,8413361.5,0.173475473
690.608309272,buy,8413497,1000,8413499.5,18.10231034
690.620096601,buy,8413359,1000,8413361.5,0.000221473
695.354782325,buy,8412998,12,8413000.5,4.586538748
695.354808503,buy,8412998,988,8413000.5,4.586564926
741.857194683,sell,8412734,6,8412731.5,46.347750555
741.857216512,sell,8412734,994,8412731.5,46.347772384
776.103138346,buy,8412997,1000,8412999.5,34.16299554
776.173733076,buy,8412597,1000,8412599.5,0
777.00626968,buy,8411798,1000,8411800.5,0.673009989
777.105868256,buy,8411265,1000,8411016.5,0
777.9955382,buy,8411014,1000,8411016.5,0.834217022
778.016171908,buy,8410698,1000,8410700.5,0
778.375320912,buy,8410608,1000,8410610.5,0.169807092
781.917723808,buy,8409820,12,8409822.5,3.47964989
781.917752521,buy,8409820,988,8409822.5,3.479678603
781.97523975,sell,8409825,1000,8409822.5,3.537165832
782.082474777,buy,8410697,1000,8410699.5,0.000501698
787.15993876,buy,8409903,12,8409905.5,4.953547034
787.159951877,buy,8409903,89,8409905.5,4.953560151
787.15996343,buy,8409903,899,8409905.5,4.953571704
787.394644065,buy,8408764,1000,8408766.5,0.086962623
790.049560892,buy,8407982,12,8407984.5,2.541571692
790.04959865,buy,8407982,988,8407984.5,2.54160945
790.175090075,buy,8407798,1000,8407800.5,0.006109798
791.019054451,buy,8407058,1000,8407060.5,0.77491828
798.119166745,buy,8406399,1000,8406401.5,6.996929755
799.365240146,buy,8404822,12,8404824.5,1.060874379
799.365335125,buy,8404822,988,8404824.5,1.060969358
805.426174891,sell,8403003,1000,8403000.5,2.826938365
805.607520278,sell,8403803,1000,8403841.5,0
809.047095016,sell,8403844,12,8403841.5,3.341557998
809.047108057,sell,8403844,988,8403841.5,3.341571039
813.452521198,buy,8404680,11,8404682.5,4.244839441
813.452541302,buy,8404680,989,8404682.5,4.244859545
813.555087772,buy,8404398,1000,8404400.5,0.018794209
816.347361281,buy,8403634,12,8403636.5,2.640962226
816.347378425,buy,8403634,988,8403636.5,2.64097937
821.539675902,sell,8402901,1000,8402898.5,3.436186609
821.919241282,sell,8403742,1000,8403739.5,0.257953804
823.543433306,sell,8404603,12,8404600.5,1.439082869
823.543503752,sell,8404603,988,8404600.5,1.439153315
823.640886018,sell,8405403,1000,8405400.5,0
