t_s,side,px_ticks,qty_lots,mid_ticks,queue_wait_s
0,buy,8401400,1000,8401400.5,0.060226121
3.573582081,buy,8401400,16,8401400.5,3.459871532
3.57380853,buy,8401400,767,8401400.5,3.460097981
4.207590687,buy,8401400,107,8401400.5,4.093880138
4.207660218,buy,8401400,7,8401400.5,4.093949669
4.207683039,buy,8401400,7,8401400.5,4.09397249
4.207700036,buy,8401400,7,8401400.5,4.093989487
4.207712904,buy,8401400,89,8401400.5,4.094002355
7.35249233,buy,8401400,242,8401400.5,2.958135977
7.352533309,buy,8401400,540,8401400.5,2.958176956
7.352571331,buy,8401400,6,8401400.5,2.958214978
7.352607407,buy,8401400,7,8401400.5,2.958251054
7.352641846,buy,8401400,205,8401400.5,2.958285493
8.473849749,buy,8401400,6,8401400.5,1.03263453
8.473870174,buy,8401400,7,8401400.5,1.032654955
8.473887681,buy,8401400,60,8401400.5,1.032672462
8.47390385,buy,8401400,7,8401400.5,1.032688631
8.473920251,buy,8401400,12,8401400.5,1.032705032
8.473936167,buy,8401400,7,8401400.5,1.032720948
8.473952123,buy,8401400,7,8401400.5,1.032736904
8.473967514,buy,8401400,7,8401400.5,1.032752295
8.473983565,buy,8401400,7,8401400.5,1.032768346
8.473998682,buy,8401400,7,8401400.5,1.032783463
8.474013421,buy,8401400,7,8401400.5,1.032798202
8.474029167,buy,8401400,7,8401400.5,1.032813948
8.474043929,buy,8401400,859,8401400.5,1.03282871
8.521708564,buy,8401200,1000,8401200.5,0.000480663
9.894382424,buy,8400818,1000,8400818.5,1.199765394
10.024128924,buy,8400600,1000,8400600.5,0.116287821
14.404418429,buy,8400011,1000,8400011.5,4.247696968
24.998026725,sell,8400012,1000,8400011.5,14.841305264
28.739206346,buy,8400011,1000,8400011.5,14.15145258
45.003845691,sell,8400012,1000,8400011.5,19.863875782
48.509949249,buy,8400011,1000,8400011.5,19.637429651
51.254944119,buy,8400011,1000,8400011.5,2.62927899
56.762051266,buy,8400011,1000,8400011.5,5.383966169
67.910702284,sell,8398841,801,8398840.5,9.012148746
68.435505009,sell,8398841,11,8398840.5,9.536951471
69.564238034,sell,8398841,88,8398840.5,10.665684496
70.747102867,sell,8398841,62,8398840.5,11.848549329
72.027129167,sell,8398841,10,8398840.5,13.128575629
73.2494437,sell,8398841,28,8398840.5,14.350890162
79.859113483,sell,8398841,1000,8398840.5,6.47419573
80.820800196,sell,8399681,6,8399680.5,0.874032823
80.8208092,sell,8399681,12,8399680.5,0.874041827
80.82081676,sell,8399681,645,8399680.5,0.874049387
81.18099071,sell,8399681,200,8399680.5,1.234223337
81.381936634,sell,8399681,6,8399680.5,1.435169261
81.382047288,sell,8399681,131,8399680.5,1.435279915
85.010024454,sell,8399681,1000,8399680.5,3.514213292
90.003658273,sell,8399681,1000,8399680.5,4.849450701
102.838478323,sell,8399681,815,8399680.5,12.681056442
102.870295226,sell,8399681,185,8399680.5,12.712873345
103.215657155,sell,8399681,1000,8399680.5,0.235815709
105.000720111,sell,8399764,1000,8399763.5,1.645890562
107.107027852,sell,8399764,1000,8399763.5,1.957587174
108.139676803,sell,8399764,1000,8399763.5,0.865988719
109.263308071,sell,8401096,1000,8401095.5,0.98947586
110.005348649,sell,8401096,182,8401095.5,0.629393614
110.005380867,sell,8401096,6,8401095.5,0.629425832
110.005397925,sell,8401096,7,8401095.5,0.62944289
110.005412144,sell,8401096,7,8401095.5,0.629457109
110.005423872,sell,8401096,7,8401095.5,0.629468837
110.00543524,sell,8401096,7,8401095.5,0.629480205
110.005447431,sell,8401096,7,8401095.5,0.629492396
110.00545795,sell,8401096,7,8401095.5,0.629502915
110.005467881,sell,8401096,7,8401095.5,0.629512846
110.005482349,sell,8401096,7,8401095.5,0.629527314
110.005491107,sell,8401096,7,8401095.5,0.629536072
110.005499418,sell,8401096,7,8401095.5,0.629544383
110.00550761,sell,8401096,7,8401095.5,0.629552575
110.005515625,sell,8401096,7,8401095.5,0.62956059
110.005524094,sell,8401096,13,8401095.5,0.629569059
110.005535821,sell,8401096,12,8401095.5,0.629580786
110.005543459,sell,8401096,703,8401095.5,0.629588424
120.017633241,sell,8401485,319,8401484.5,9.864306774
120.017656505,sell,8401485,7,8401484.5,9.864330038
120.017679404,sell,8401485,13,8401484.5,9.864352937
120.017700758,sell,8401485,7,8401484.5,9.864374291
120.017722953,sell,8401485,654,8401484.5,9.864396486
138.079784437,buy,8401484,1000,8401484.5,27.92645797
141.134615428,sell,8401485,1000,8401484.5,20.963080468
142.154912438,sell,8401485,1000,8401484.5,0.910763999
142.230271025,sell,8402001,1000,8402000.5,0
145.571534756,sell,8402201,144,8402200.5,3.208868738
145.57161277,sell,8402201,7,8402200.5,3.208946752
145.571633223,sell,8402201,7,8402200.5,3.208967205
145.571682573,sell,8402201,7,8402200.5,3.209016555
145.571700741,sell,8402201,7,8402200.5,3.209034723
145.571714063,sell,8402201,7,8402200.5,3.209048045
145.571726601,sell,8402201,7,8402200.5,3.209060583
145.571737584,sell,8402201,7,8402200.5,3.209071566
145.571747707,sell,8402201,7,8402200.5,3.209081689
145.571757952,sell,8402201,7,8402200.5,3.209091934
145.571767467,sell,8402201,6,8402200.5,3.209101449
145.571793254,sell,8402201,7,8402200.5,3.209127236
145.571813487,sell,8402201,12,8402200.5,3.209147469
145.571828465,sell,8402201,99,8402200.5,3.209162447
145.571841315,sell,8402201,7,8402200.5,3.209175297
145.571887867,sell,8402201,7,8402200.5,3.209221849
145.571902923,sell,8402201,7,8402200.5,3.209236905
145.571914492,sell,8402201,7,8402200.5,3.209248474
145.571924975,sell,8402201,641,8402200.5,3.209258957
147.619557387,sell,8402201,7,8402200.5,1.931194052
147.619597014,sell,8402201,7,8402200.5,1.931233679
147.619629147,sell,8402201,7,8402200.5,1.931265812
147.619653899,sell,8402201,7,8402200.5,1.931290564
147.61967707,sell,8402201,7,8402200.5,1.931313735
147.619697218,sell,8402201,12,8402200.5,1.931333883
147.619714973,sell,8402201,7,8402200.5,1.931351638
147.6197361,sell,8402201,7,8402200.5,1.931372765
147.619754546,sell,8402201,7,8402200.5,1.931391211
147.61977324,sell,8402201,7,8402200.5,1.931409905
147.619791774,sell,8402201,6,8402200.5,1.931428439
147.619810572,sell,8402201,7,8402200.5,1.931447237
147.619830142,sell,8402201,7,8402200.5,1.931466807
147.619851137,sell,8402201,7,8402200.5,1.931487802
147.619869473,sell,8402201,7,8402200.5,1.931506138
147.619889416,sell,8402201,12,8402200.5,1.931526081
147.619907888,sell,8402201,6,8402200.5,1.931544553
147.619936681,sell,8402201,7,8402200.5,1.931573346
147.619960837,sell,8402201,866,8402200.5,1.931597502
147.700877625,sell,8402401,6,8402400.5,0.000287813
147.700886846,sell,8402401,13,8402400.5,0.000297034
147.700894939,sell,8402401,981,8402400.5,0.000305127
147.809475102,sell,8402850,3,8402849.5,0.005338631
148.016622074,sell,8402850,3,8402849.5,0.212485603
148.016793823,sell,8402850,7,8402849.5,0.212657352
148.016845787,sell,8402850,7,8402849.5,0.212709316
148.016878197,sell,8402850,7,8402849.5,0.212741726
148.016906266,sell,8402850,7,8402849.5,0.212769795
148.016930098,sell,8402850,6,8402849.5,0.212793627
148.016952021,sell,8402850,7,8402849.5,0.21281555
148.016973993,sell,8402850,7,8402849.5,0.212837522
148.016994423,sell,8402850,7,8402849.5,0.212857952
148.017013446,sell,8402850,7,8402849.5,0.212876975
148.01707564,sell,8402850,7,8402849.5,0.212939169
148.017114285,sell,8402850,7,8402849.5,0.212977814
148.017140186,sell,8402850,7,8402849.5,0.213003715
148.0171657,sell,8402850,7,8402849.5,0.213029229
148.017189901,sell,8402850,12,8402849.5,0.21305343
148.017210536,sell,8402850,7,8402849.5,0.213074065
148.017230492,sell,8402850,885,8402849.5,0.213094021
149.742905197,sell,8403201,1000,8403200.5,1.612035483
163.79231817,buy,8404691,1000,8404691.5,13.657678803
165.016105669,sell,8404692,1000,8404691.5,1.024858347
172.618264641,buy,8405479,1000,8405479.5,7.063940871
175.244614077,buy,8404691,1000,8404691.5,2.457513975
181.449076666,buy,8404691,1000,8404691.5,6.125082836
187.86591546,sell,8404692,1000,8404691.5,15.078815358
189.49517237,sell,8404692,1000,8404691.5,1.505748114
193.014634179,sell,8405001,1000,8405000.5,3.396571575
210.131130251,buy,8406503,1000,8406503.5,7.257868798
213.826167858,buy,8405500,1000,8405500.5,3.54948464
213.93900333,buy,8404800,22,8404800.5,0.000680008
213.939020108,buy,8404800,978,8404800.5,0.000696786
214.402192127,buy,8404800,6,8404800.5,0.325301253
214.402206001,buy,8404800,20,8404800.5,0.325315127
214.402220595,buy,8404800,974,8404800.5,0.325329721
216.696347294,sell,8403977,1000,8403976.5,2.119991982
218.187418381,sell,8403977,1000,8403976.5,1.311065658
218.575996207,sell,8403977,993,8403976.5,0.284442325
218.576021477,sell,8403977,7,8403976.5,0.284467595
219.076678769,sell,8403977,1000,8403976.5,0.399984719
235.195693621,buy,8408001,1000,8408001.5,0.105794871
237.443431815,buy,8408000,1000,8408000.5,2.130090648
238.075690679,sell,8408001,1000,8408000.5,2.762349512
239.475573522,sell,8408002,1000,8408001.5,1.320985981
240.113026712,buy,8408712,1000,8408712.5,0.336460682
240.343021347,buy,8407161,7,8407161.5,0.06704062
240.343040159,buy,8407161,7,8407161.5,0.067059432
240.343143016,buy,8407161,7,8407161.5,0.067162289
240.343177112,buy,8407161,7,8407161.5,0.067196385
240.343197242,buy,8407161,12,8407161.5,0.067216515
240.343217872,buy,8407161,68,8407161.5,0.067237145
240.343238803,buy,8407161,892,8407161.5,0.067258076
241.073847029,sell,8406801,1000,8406800.5,0.597936031
241.825365955,buy,8406800,1000,8406800.5,1.349454957
245.339161481,sell,8406801,1000,8406800.5,4.228071531
248.572791613,sell,8406801,1000,8406800.5,3.096424399
252.697706057,buy,8406800,1000,8406800.5,10.778040735
254.571861743,sell,8406801,1000,8406800.5,1.694086256
310.159167478,buy,8408886,1000,8408886.5,13.471062721
314.645390005,buy,8408886,1000,8408886.5,4.387056971
314.73096646,buy,8408200,556,8408200.5,0.007832068
314.731151038,buy,8408200,7,8408200.5,0.008016646
314.731189751,buy,8408200,7,8408200.5,0.008055359
314.731205206,buy,8408200,7,8408200.5,0.008070814
314.731218246,buy,8408200,7,8408200.5,0.008083854
314.731229112,buy,8408200,6,8408200.5,0.00809472
314.731238946,buy,8408200,7,8408200.5,0.008104554
314.731247803,buy,8408200,7,8408200.5,0.008113411
314.731257225,buy,8408200,7,8408200.5,0.008122833
314.731266152,buy,8408200,7,8408200.5,0.00813176
314.731274742,buy,8408200,7,8408200.5,0.00814035
314.731286771,buy,8408200,7,8408200.5,0.008152379
314.731300515,buy,8408200,7,8408200.5,0.008166123
314.73130957,buy,8408200,135,8408200.5,0.008175178
314.759881858,buy,8408200,226,8408200.5,0.036747466
317.49309073,buy,8408181,1000,8408181.5,2.684056318
324.804678382,buy,8408181,1000,8408181.5,7.206185741
330.839589002,buy,8408181,1000,8408181.5,5.854982369
343.545567422,buy,8408181,1000,8408181.5,12.558974683
343.858503483,buy,8405618,7,8405618.5,0.239027379
343.858565659,buy,8405618,993,8405618.5,0.239089555
347.64754676,buy,8404787,1000,8404787.5,3.732732058
348.41742628,buy,8404787,1000,8404787.5,0.634552535
354.046732497,buy,8404396,1000,8404396.5,5.464344779
358.009761838,sell,8404397,1000,8404396.5,9.42737412
363.875869438,buy,8404396,1000,8404396.5,9.692778799
365.033078979,sell,8404397,1000,8404396.5,6.848989443
369.469395366,buy,8404396,953,8404396.5,5.484177993
369.905756438,buy,8404396,33,8404396.5,5.920539065
370.051832323,buy,8404396,14,8404396.5,6.06661495
370.737895911,buy,8404396,336,8404396.5,0.552380612
370.737919231,buy,8404396,664,8404396.5,0.552403932
376.1079478,sell,8403143,1000,8403142.5,5.222083068
