t_s,mid_ticks,inv_btc,pnl_usdt
0.004060272,8401400.5,0,0
1.004559085,8401400.5,0.01,4.99999999640106e-05
2.004702153,8401400.5,0.01,4.99999999640106e-05
3.004544674,8401400.5,0.01,4.99999999640106e-05
4.005328553,8401400.5,0.01783,8.91500000800859e-05
5.005766113,8401400.5,0.02,0.000100000000382769
6.005458767,8401400.5,0.02,0.000100000000382769
7.006804272,8401400.5,0.02,0.000100000000382769
8.006262665,8401400.5,0.03,0.000150000000119406
9.006861334,8400818.5,0.05,-0.270749999998828
10.007772608,8400600.5,0.06,-0.401499999998927
11.007591916,8400011.5,0.07,-0.813749999999077
12.007071944,8400011.5,0.07,-0.813749999999077
13.007595816,8400011.5,0.07,-0.813749999999077
14.008664554,8400011.5,0.07,-0.813749999999077
15.100135822,8400011.5,0.08,-0.813699999999559
16.101029385,8400011.5,0.08,-0.813699999999559
17.100117108,8400011.5,0.08,-0.813699999999559
18.100442301,8400011.5,0.08,-0.813699999999559
19.101426701,8400011.5,0.08,-0.813699999999559
20.099858221,8400011.5,0.08,-0.813699999999559
21.098050543,8400011.5,0.08,-0.813699999999559
22.099475114,8400011.5,0.08,-0.813699999999559
23.085471258,8400011.5,0.08,-0.813699999999559
24.08456997,8400011.5,0.08,-0.813699999999559
25.082988981,8400011.5,0.08,-0.813699999999559
26.083183113,8400011.5,0.07,-0.813649999999784
27.083654687,8400011.5,0.07,-0.813649999999784
28.083984106,8400011.5,0.07,-0.813649999999784
29.084767549,8400011.5,0.08,-0.813600000000266
30.084574367,8400011.5,0.08,-0.813600000000266
31.084391353,8400011.5,0.08,-0.813600000000266
32.085795668,8400011.5,0.08,-0.813600000000266
33.085101869,8400011.5,0.08,-0.813600000000266
34.085503165,8400011.5,0.08,-0.813600000000266
35.085758861,8400011.5,0.08,-0.813600000000266
36.086368736,8400011.5,0.08,-0.813600000000266
37.086083001,8400011.5,0.08,-0.813600000000266
38.086013474,8400011.5,0.08,-0.813600000000266
39.087048046,8400011.5,0.08,-0.813600000000266
40.087187015,8400011.5,0.08,-0.813600000000266
41.087065117,8400011.5,0.08,-0.813600000000266
42.087657642,8400011.5,0.08,-0.813600000000266
43.088615682,8400011.5,0.08,-0.813600000000266
44.087415345,8400011.5,0.08,-0.813600000000266
45.087637665,8400011.5,0.08,-0.813600000000266
46.08777478,8400011.5,0.07,-0.813550000000492
47.088072909,8400011.5,0.07,-0.813550000000492
48.089016033,8400011.5,0.07,-0.813550000000492
49.088786708,8400011.5,0.08,-0.813500000000973
50.025864564,8400011.5,0.08,-0.813500000000973
51.089520381,8400011.5,0.08,-0.813500000000973
52.090443482,8400011.5,0.09,-0.813450000001455
53.089464083,8400011.5,0.09,-0.813450000001455
54.091444918,8400011.5,0.09,-0.813450000001455
55.090278235,8400011.5,0.09,-0.813450000001455
56.090849518,8400011.5,0.09,-0.813450000001455
57.09250323,8399600.5,0.1,-1.22440000000079
58.094214017,8399600.5,0.1,-1.22440000000079
59.09101622,8398840.5,0.1,-1.98440000000079
60.091925494,8398840.5,0.1,-1.98440000000079
61.092624087,8398840.5,0.1,-1.98440000000079
62.091803962,8398840.5,0.1,-1.98440000000079
63.093694368,8398840.5,0.1,-1.98440000000079
64.093558763,8398840.5,0.1,-1.98440000000079
65.093833338,8398840.5,0.1,-1.98440000000079
66.09272466,8398840.5,0.1,-1.98440000000079
67.093530778,8398840.5,0.1,-1.98440000000079
68.093768306,8398840.5,0.09199,-1.9843599500006
69.093834457,8398840.5,0.09188,-1.98435940000122
70.094408468,8398840.5,0.091,-1.98435500000031
71.094719759,8398840.5,0.09038,-1.98435190000148
72.095605397,8398840.5,0.09038,-1.98435190000148
73.095331778,8398840.5,0.09028,-1.98435140000007
74.095260461,8398840.5,0.09,-1.98434999999971
75.088558906,8398840.5,0.09,-1.98434999999971
76.089135874,8398840.5,0.09,-1.98434999999971
77.090161698,8398840.5,0.09,-1.98434999999971
78.089815601,8398840.5,0.09,-1.98434999999971
79.09061905,8398840.5,0.09,-1.98434999999971
80.090920526,8399680.5,0.08,-1.31230000000026
81.091139302,8399680.5,0.07337,-1.31226685000047
82.092458104,8399680.5,0.07,-1.31225000000074
83.091611884,8399680.5,0.07,-1.31225000000074
84.093749331,8399680.5,0.07,-1.31225000000074
85.09272193,8399680.5,0.07,-1.31225000000074
86.093778842,8399680.5,0.06,-1.31220000000063
87.092965979,8399680.5,0.06,-1.31220000000063
88.092821989,8399680.5,0.06,-1.31220000000063
89.092862093,8399680.5,0.06,-1.31220000000063
90.097090401,8399680.5,0.06,-1.31220000000063
91.09407163,8399680.5,0.05,-1.31215000000053
92.092483157,8399680.5,0.05,-1.31215000000053
93.091467966,8399680.5,0.05,-1.31215000000053
94.089716247,8399680.5,0.05,-1.31215000000053
95.089941602,8399680.5,0.05,-1.31215000000053
96.089523963,8399680.5,0.05,-1.31215000000053
97.090738298,8399680.5,0.05,-1.31215000000053
98.091805025,8399680.5,0.05,-1.31215000000053
99.090024765,8399680.5,0.05,-1.31215000000053
100.090761762,8399680.5,0.05,-1.31215000000053
101.092358887,8399680.5,0.05,-1.31215000000053
102.091458579,8399680.5,0.05,-1.31215000000053
103.091899978,8399680.5,0.04,-1.31210000000043
104.092299365,8399763.5,0.03,-1.28715000000042
105.085080983,8399763.5,0.03,-1.28715000000042
106.086015253,8399763.5,0.02,-1.28710000000081
107.086372676,8399763.5,0.02,-1.28710000000081
