strategy,fill,gamma,k,tau,half_spread,latency_ms,fee_bps,size_lots,duration_s,fills,buys,sells,volume_btc,notional,spread_capture,inventory_pnl,fees,total_pnl,max_abs_inv,mean_abs_inv,final_inv,edge_ticks,markout1,markout5,markout30,realized1,realized5,realized30,wait_s,live_frac,cancels,post_only_rejects,gaps,dataset,label
touch,queue,0.1,0.0584,30,2,10,0,1000,575.2,353,159,194,2.13,5735.92,0.0009,-0.4637,0.0,-0.4629,0.1,0.05209,-0.03,0.2224,-13.8457,-15.1642,-0.7949,-13.6257,-14.9164,-0.4936,2.826,0.7724,172,0,0,ethusdt_b,touch
touch,queue,0.1,0.0584,30,2,0,0,1000,575.2,367,163,204,2.15,5789.71,0.0046,-0.4883,0.0,-0.4837,0.1,0.05399,-0.03,0.3338,-14.3104,-15.3746,-1.7309,-13.978,-15.0465,-1.4174,2.723,0.744,175,0,0,ethusdt_b,touch
touch,queue,0.1,0.0584,30,2,50,0,1000,575.2,337,148,189,2.13,5735.93,-0.0173,-0.4389,0.0,-0.4562,0.1,0.0511,-0.03,-0.3279,-13.021,-14.3108,-1.8121,-13.3563,-14.62,-2.057,2.964,0.7765,171,0,0,ethusdt_b,touch
touch,queue,0.1,0.0584,30,2,200,0,1000,575.2,274,119,155,1.78,4793.22,-0.0032,-0.4279,0.0,-0.4311,0.1,0.04847,-0.06,0.0584,-12.9044,-13.9037,4.5817,-12.8235,-13.8222,4.7311,3.297,0.752,134,0,0,ethusdt_b,touch
touch,optimistic,0.1,0.0584,30,2,10,0,1000,575.2,1453,719,734,6.6034,17782.89,0.0222,-0.6625,0.0,-0.6403,0.1081,0.06579,0.0126,0.4236,-7.1038,-7.7172,-0.2251,-6.6811,-7.287,0.2187,1.154,0.7046,173,0,0,ethusdt_b,touch
touch,queue,0.1,0.0584,30,2,10,10,1000,575.2,353,159,194,2.13,5735.92,0.0009,-0.4637,5.7359,-6.1988,0.1,0.05209,-0.03,0.2224,-13.8457,-15.1642,-0.7949,-13.6257,-14.9164,-0.4936,2.826,0.7724,172,0,0,ethusdt_b,touch
touch,queue,0.1,0.0584,30,2,10,1,1000,575.2,353,159,194,2.13,5735.92,0.0009,-0.4637,0.5736,-1.0364,0.1,0.05209,-0.03,0.2224,-13.8457,-15.1642,-0.7949,-13.6257,-14.9164,-0.4936,2.826,0.7724,172,0,0,ethusdt_b,touch
touch,queue,0.1,0.0584,30,2,10,-0.5,1000,575.2,353,159,194,2.13,5735.92,0.0009,-0.4637,-0.2868,-0.1761,0.1,0.05209,-0.03,0.2224,-13.8457,-15.1642,-0.7949,-13.6257,-14.9164,-0.4936,2.826,0.7724,172,0,0,ethusdt_b,touch
fixed,queue,0.1,0.0584,30,2,10,0,1000,575.2,365,173,192,1.38349,3726.0,0.0247,-0.5095,0.0,-0.4849,0.10809,0.05313,-0.04349,2.0945,-23.6705,-23.1906,0.6721,-21.5909,-21.1129,2.7922,3.896,0.718,162,0,0,ethusdt_b,fixed h=2
fixed,queue,0.1,0.0584,30,2,0,0,1000,575.2,367,173,194,1.38349,3725.96,0.0273,-0.5458,0.0,-0.5186,0.10809,0.05623,-0.04349,2.1812,-23.2401,-23.9767,-3.3987,-21.0706,-21.8061,-1.2524,3.863,0.7158,166,0,0,ethusdt_b,fixed h=2
fixed,queue,0.1,0.0584,30,2,50,0,1000,575.2,360,169,191,1.40349,3779.84,0.0063,-0.4895,0.0,-0.4833,0.10809,0.05389,-0.04349,1.5639,-23.0778,-23.4494,-0.8469,-21.549,-21.9286,0.7476,3.979,0.7308,160,0,0,ethusdt_b,fixed h=2
fixed,queue,0.1,0.0584,30,2,200,0,1000,575.2,311,135,176,1.16349,3133.36,0.0148,-0.4971,0.0,-0.4823,0.10809,0.05588,-0.06349,1.873,-23.5,-24.8859,-5.2989,-21.6104,-23.0034,-3.3303,4.425,0.7546,133,0,0,ethusdt_b,fixed h=2
