t_s,side,px_ticks,qty_lots,mid_ticks,queue_wait_s
0,sell,269211,1000,269188.5,1.834640919
14.403598567,buy,269207,200,269212.5,2.541362241
14.403966509,buy,269207,800,269212.5,2.541730183
30.198061234,sell,269182,1000,269155.5,1.345965587
30.775455397,buy,269164,1000,269165.5,0.421334449
50.376346336,sell,269157,1000,269131.5,0.000682282
56.58105797,buy,269166,1000,269166.5,5.918575908
62.331325753,buy,269104,1000,269139.5,0.878591956
81.802148793,sell,269101,1000,269100.5,19.345179173
121.135874552,buy,269080,1000,269100.5,1.913719326
125.085642982,sell,269038,1000,269037.5,3.529933998
157.291809046,sell,269090,1000,269068.5,4.443311905
161.753306519,buy,269097,1000,269096.5,4.304077486
192.543844059,sell,269141,1000,269130.5,6.082137725
192.568786155,sell,269152,1000,269130.5,0.000353358
194.238844316,buy,269151,1000,269151.5,1.611108161
206.287470572,buy,269099,1000,269099.5,11.925779256
231.816648704,buy,269165,190,269195.5,1.258399603
231.861492014,buy,269165,810,269195.5,1.303242913
237.91940954,sell,269155,266,269154.5,5.986548968
237.919530704,sell,269155,734,269154.5,5.986670132
292.500267955,sell,269263,190,269235.5,0.644733075
292.500286031,sell,269263,190,269235.5,0.644751151
292.500304649,sell,269263,620,269235.5,0.644769769
302.299505623,buy,269286,1000,269300.5,2.892753805
341.224621876,sell,269324,200,269300.5,0.669619249
341.224627978,sell,269324,800,269300.5,0.669625351
351.281500316,buy,269328,1000,269328.5,9.926929698
408.340121608,sell,269355,200,269332.5,3.040181399
408.340151424,sell,269355,800,269332.5,3.040211215
408.942776543,buy,269359,1000,269359.5,0.484184501
436.285730744,buy,269269,1000,269293.5,2.931377657
439.200744544,sell,269269,1000,269268.5,2.746489013
440.540738755,sell,269302,1000,269268.5,1.18890607
440.961563182,buy,269380,1000,269380.5,0.193997038
535.393107311,buy,269548,190,269575.5,2.149617841
535.393211828,buy,269548,810,269575.5,2.149722358
542.352419121,sell,269476,1000,269475.5,0.900482707
