t_s,side,px_ticks,qty_lots,mid_ticks,queue_wait_s
0,sell,269206,1000,269188.5,3.933724109
15.968071553,buy,269167,1000,269184.5,0.031325232
18.323599214,sell,269180,1000,269161.5,2.31184271
30.198211784,sell,269173,1000,269155.5,2.887403131
32.278143915,buy,269136,200,269153.5,1.325123665
32.278186153,buy,269136,200,269153.5,1.325165903
32.278219332,buy,269136,200,269153.5,1.325199082
32.278250854,buy,269136,400,269153.5,1.325230604
50.37652004,sell,269149,1000,269131.5,0.000550509
56.664110191,buy,269149,1000,269148.5,6.001322652
62.331317034,buy,269122,1000,269139.5,5.467271789
121.136136571,buy,269083,1000,269100.5,4.685247817
121.357672368,buy,269056,30,269056.5,0.14133463
121.357684656,buy,269056,200,269056.5,0.141346918
121.357693002,buy,269056,200,269056.5,0.141355264
121.357700279,buy,269056,570,269056.5,0.141362541
121.397526089,buy,269039,1000,269056.5,0.029951977
157.29207612,sell,269086,1000,269068.5,19.686037535
192.543752151,sell,269138,1000,269130.5,1.980266054
192.568738274,sell,269148,1000,269130.5,0
194.24052659,buy,269134,200,269151.5,1.612484958
194.240539656,buy,269134,800,269151.5,1.612498024
231.816312678,buy,269178,1000,269195.5,5.858087582
238.145004205,sell,269172,86,269165.5,6.211838156
238.145270968,sell,269172,914,269165.5,6.212104919
247.866925296,sell,269165,150,269147.5,2.189701569
247.867079547,sell,269165,850,269147.5,2.18985582
269.855723226,sell,269192,1000,269192.5,8.724202278
270.256155691,sell,269210,1000,269192.5,0.027796723
285.318762026,sell,269234,190,269216.5,0.106646631
285.318783302,sell,269234,190,269216.5,0.106667907
285.31880367,sell,269234,620,269216.5,0.106688275
292.325416175,sell,269253,190,269235.5,6.970594972
292.32542453,sell,269253,810,269235.5,6.970603327
302.2998111,buy,269284,200,269300.5,9.749276034
302.299987576,buy,269284,200,269300.5,9.74945251
302.300161659,buy,269284,200,269300.5,9.749626593
302.30032995,buy,269284,400,269300.5,9.749794884
341.22479469,sell,269318,190,269300.5,7.069431793
341.224802736,sell,269318,190,269300.5,7.069439839
341.224810692,sell,269318,620,269300.5,7.069447795
391.227027691,buy,269325,200,269342.5,6.929172791
391.227043462,buy,269325,800,269342.5,6.929188562
408.340003283,sell,269350,200,269332.5,5.076365948
408.340034688,sell,269350,200,269332.5,5.076397353
408.340063593,sell,269350,200,269332.5,5.076426258
408.340092651,sell,269350,400,269332.5,5.076455316
411.298477334,buy,269330,1000,269347.5,1.741818387
436.285294719,buy,269276,4,269293.5,4.53494998
436.285316487,buy,269276,190,269293.5,4.534971748
436.285339141,buy,269276,190,269293.5,4.534994402
436.285360647,buy,269276,190,269293.5,4.535015908
436.285459144,buy,269276,426,269293.5,4.535114405
440.527703435,sell,269286,1000,269268.5,4.073142427
440.97973417,buy,269364,1000,269380.5,0.211862549
444.30848261,sell,269381,1000,269361.5,0.465957469
448.520228581,sell,269481,1000,269460.5,3.972876201
448.819068439,buy,269520,200,269534.5,0.028436827
448.819175729,buy,269520,200,269534.5,0.028544117
448.819332237,buy,269520,190,269534.5,0.028700625
448.819461466,buy,269520,200,269534.5,0.028829854
448.848521089,buy,269520,210,269519.5,0.057889477
455.584616932,buy,269496,1000,269511.5,6.318239962
456.039940178,sell,269497,1000,269498.5,0.101000527
465.141552832,sell,269498,1000,269478.5,3.299962515
466.252463257,sell,269539,190,269520.5,1.010794768
466.252501453,sell,269539,190,269520.5,1.010832964
466.252527315,sell,269539,190,269520.5,1.010858826
466.252541217,sell,269539,190,269520.5,1.010872728
466.252557105,sell,269539,240,269520.5,1.010888616
467.58363413,buy,269550,1000,269565.5,0.841451298
468.227223553,buy,269518,1000,269533.5,0.48624419
476.272356569,buy,269495,95,269511.5,7.928551325
476.272362348,buy,269495,190,269511.5,7.928557104
476.27236826,buy,269495,715,269511.5,7.928563016
498.10477579,sell,269514,200,269497.5,1.537529199
498.10478317,sell,269514,200,269497.5,1.537536579
498.104790271,sell,269514,190,269497.5,1.53754368
498.104797842,sell,269514,190,269497.5,1.537551251
498.104804284,sell,269514,200,269497.5,1.537557693
498.104810834,sell,269514,20,269497.5,1.537564243
498.343506304,sell,269559,1000,269560.5,0.066569509
507.913964067,sell,269599,751,269580.5,5.472513921
507.914200955,sell,269599,190,269580.5,5.472750809
507.914387772,sell,269599,59,269580.5,5.472937626
535.391090226,buy,269558,189,269575.5,3.951300682
535.391133752,buy,269558,190,269575.5,3.951344208
535.391258523,buy,269558,190,269575.5,3.951468979
535.391316342,buy,269558,431,269575.5,3.951526798
536.29041379,buy,269523,199,269540.5,0.735042066
536.290443835,buy,269523,200,269540.5,0.735072111
536.290472323,buy,269523,601,269540.5,0.735100599
541.282040175,buy,269482,1000,269499.5,0.528349118
542.486947635,sell,269504,190,269486.5,0.001043514
542.486968518,sell,269504,810,269486.5,0.001064397
542.653132441,sell,269529,1000,269516.5,0.084263582
542.748962137,sell,269535,1000,269540.5,0
544.109964021,sell,269573,1000,269554.5,1.161173097
549.519852703,sell,269618,190,269599.5,0.471343805
549.519864143,sell,269618,810,269599.5,0.471355245
559.053091464,sell,269664,190,269645.5,1.199434947
559.05310208,sell,269664,810,269645.5,1.199445563
