t_s,side,px_ticks,qty_lots,mid_ticks,queue_wait_s
0,sell,269206,1000,269188.5,3.933724109
15.968071553,buy,269167,1000,269184.5,0.031325232
18.323599214,sell,269180,1000,269161.5,2.31184271
30.198211784,sell,269173,1000,269155.5,2.887403131
32.278143915,buy,269136,200,269153.5,1.325123665
32.278186153,buy,269136,200,269153.5,1.325165903
32.278219332,buy,269136,200,269153.5,1.325199082
32.278250854,buy,269136,400,269153.5,1.325230604
50.37652004,sell,269149,1000,269131.5,0.000550509
56.664110191,buy,269149,1000,269148.5,6.001322652
62.331317034,buy,269122,1000,269139.5,5.467271789
121.136136571,buy,269083,1000,269100.5,4.685247817
121.357672368,buy,269056,30,269056.5,0.14133463
121.357684656,buy,269056,200,269056.5,0.141346918
121.357693002,buy,269056,200,269056.5,0.141355264
121.357700279,buy,269056,570,269056.5,0.141362541
121.397526089,buy,269039,1000,269056.5,0.029951977
157.29207612,sell,269086,1000,269068.5,19.686037535
192.543752151,sell,269138,1000,269130.5,1.980266054
192.568738274,sell,269148,1000,269130.5,0
194.24052659,buy,269134,200,269151.5,1.612484958
194.240539656,buy,269134,800,269151.5,1.612498024
231.816312678,buy,269178,1000,269195.5,5.858087582
238.145004205,sell,269172,86,269165.5,6.211838156
238.145270968,sell,269172,914,269165.5,6.212104919
247.866925296,sell,269165,150,269147.5,2.189701569
247.867079547,sell,269165,850,269147.5,2.18985582
269.855723226,sell,269192,1000,269192.5,8.724202278
270.256155691,sell,269210,1000,269192.5,0.027796723
285.318762026,sell,269234,190,269216.5,0.106646631
285.318783302,sell,269234,190,269216.5,0.106667907
285.31880367,sell,269234,620,269216.5,0.106688275
292.325416175,sell,269253,190,269235.5,6.970594972
292.32542453,sell,269253,810,269235.5,6.970603327
302.30032995,buy,269283,1000,269300.5,9.749794884
308.964511056,sell,269265,1000,269264.5,6.357322472
341.22479469,sell,269318,190,269300.5,7.069431793
341.224802736,sell,269318,190,269300.5,7.069439839
341.224810692,sell,269318,620,269300.5,7.069447795
391.227027691,buy,269325,200,269342.5,6.929172791
391.227043462,buy,269325,800,269342.5,6.929188562
408.340003283,sell,269350,200,269332.5,5.076365948
408.340034688,sell,269350,200,269332.5,5.076397353
408.340063593,sell,269350,200,269332.5,5.076426258
408.340092651,sell,269350,400,269332.5,5.076455316
411.298477334,buy,269330,1000,269347.5,1.741818387
436.285294719,buy,269276,4,269293.5,4.53494998
436.285316487,buy,269276,190,269293.5,4.534971748
436.285339141,buy,269276,190,269293.5,4.534994402
436.285360647,buy,269276,190,269293.5,4.535015908
436.285459144,buy,269276,426,269293.5,4.535114405
440.527703435,sell,269286,1000,269268.5,4.073142427
440.97973417,buy,269363,1000,269380.5,0.211862549
444.308475329,sell,269379,1000,269361.5,0.465950188
448.517540469,sell,269478,190,269460.5,3.970188089
448.517757952,sell,269478,810,269460.5,3.970405572
455.584616932,buy,269494,1000,269511.5,6.318239962
456.000350346,sell,269495,1000,269477.5,0.061410695
465.141468021,sell,269496,4,269478.5,3.299877704
465.141483519,sell,269496,190,269478.5,3.299893202
465.141497464,sell,269496,200,269478.5,3.299907147
465.141510786,sell,269496,200,269478.5,3.299920469
465.14152519,sell,269496,190,269478.5,3.299934873
465.141538954,sell,269496,200,269478.5,3.299948637
465.141552832,sell,269496,16,269478.5,3.299962515
466.252429939,sell,269537,1000,269520.5,1.01076145
467.58363413,buy,269548,200,269565.5,0.841451298
467.583643341,buy,269548,200,269565.5,0.841460509
467.583651201,buy,269548,200,269565.5,0.841468369
467.583658951,buy,269548,400,269565.5,0.841476119
468.227255144,buy,269516,109,269533.5,0.486275781
468.227265665,buy,269516,190,269533.5,0.486286302
468.227277397,buy,269516,190,269533.5,0.486298034
468.227287711,buy,269516,190,269533.5,0.486308348
468.227299383,buy,269516,321,269533.5,0.48632002
476.27236826,buy,269494,1000,269511.5,7.928563016
498.10477579,sell,269514,200,269497.5,1.537529199
498.10478317,sell,269514,200,269497.5,1.537536579
498.104790271,sell,269514,190,269497.5,1.53754368
498.104797842,sell,269514,190,269497.5,1.537551251
498.104804284,sell,269514,200,269497.5,1.537557693
498.104810834,sell,269514,20,269497.5,1.537564243
498.343506304,sell,269558,1000,269560.5,0.066569509
507.913964067,sell,269598,1000,269580.5,5.472513921
535.391090226,buy,269558,189,269575.5,3.951300682
535.391133752,buy,269558,190,269575.5,3.951344208
535.391258523,buy,269558,190,269575.5,3.951468979
535.391316342,buy,269558,431,269575.5,3.951526798
536.29041379,buy,269523,199,269540.5,0.735042066
536.290443835,buy,269523,200,269540.5,0.735072111
536.290472323,buy,269523,601,269540.5,0.735100599
541.282040175,buy,269482,1000,269499.5,0.528349118
542.486947635,sell,269504,190,269486.5,0.001043514
542.486968518,sell,269504,810,269486.5,0.001064397
542.653126346,sell,269528,190,269516.5,0.084257487
542.653132441,sell,269528,810,269516.5,0.084263582
542.748962137,sell,269534,1000,269540.5,0
544.1099257,sell,269572,1000,269554.5,1.161134776
549.519743607,sell,269617,190,269599.5,0.471234709
549.519754106,sell,269617,190,269599.5,0.471245208
549.519765371,sell,269617,190,269599.5,0.471256473
549.519819552,sell,269617,430,269599.5,0.471310654
559.053056947,sell,269663,190,269645.5,1.19940043
559.053063438,sell,269663,810,269645.5,1.199406921
