t_s,side,px_ticks,qty_lots,mid_ticks,queue_wait_s
0,sell,269189,1000,269188.5,3.907427465
8.690363781,sell,269214,1000,269213.5,8.50717868
9.295041097,buy,269213,192,269213.5,9.111855996
9.295102811,buy,269213,200,269213.5,9.11191771
9.295121452,buy,269213,380,269213.5,9.111936351
9.29513675,buy,269213,200,269213.5,9.111951649
9.295149925,buy,269213,28,269213.5,9.111964824
14.425133265,buy,269212,1000,269212.5,5.026685253
15.771244652,buy,269201,1000,269201.5,1.176557564
15.834360469,buy,269199,1000,269199.5,0.003224064
15.978590552,buy,269184,1000,269184.5,0.015547587
17.130820678,buy,269162,200,269162.5,1.09276753
17.131029999,buy,269162,200,269162.5,1.092976851
17.131214383,buy,269162,600,269162.5,1.093161235
18.332629768,sell,269162,200,269161.5,1.081509561
18.332821444,sell,269162,800,269161.5,1.081701237
19.346954589,buy,269161,1000,269161.5,2.095834382
24.804311836,buy,269161,1000,269161.5,5.310519453
27.243989255,buy,269161,1000,269161.5,2.251967308
30.223289195,sell,269156,1000,269155.5,2.886183898
30.802032707,buy,269165,1000,269165.5,0.421309638
32.289116662,buy,269153,1000,269153.5,1.309799768
32.525036315,buy,269133,1000,269133.5,0.043372194
32.882694136,buy,269121,1000,269110.5,0.197063041
41.142467036,sell,269111,1000,269110.5,8.246576916
41.283540686,sell,269115,1000,269120.5,0
41.382099359,sell,269121,1000,269120.5,0
46.687605663,sell,269124,1000,269123.5,5.200714853
50.290086682,sell,269124,1000,269123.5,3.404002753
50.307443734,sell,269128,1000,269127.5,0.00028693
50.402555853,sell,269132,1000,269131.5,0.000289678
50.559064668,sell,269159,1000,269158.5,0.000193603
51.908847371,sell,269167,200,269166.5,1.219763188
51.908854875,sell,269167,200,269166.5,1.219770692
51.90886159,sell,269167,200,269166.5,1.219777407
51.92419068,sell,269167,400,269166.5,1.235106497
55.934091887,sell,269168,70,269167.5,3.84468161
55.93421375,sell,269168,200,269167.5,3.844803473
55.934251582,sell,269168,200,269167.5,3.844841305
55.934280254,sell,269168,200,269167.5,3.844869977
55.934303297,sell,269168,190,269167.5,3.84489302
55.93432411,sell,269168,140,269167.5,3.844913833
56.603042125,buy,269167,1000,269166.5,4.513631848
56.635265248,buy,269166,1000,269166.5,0
56.787103871,buy,269148,1000,269148.5,0.000478416
62.242069707,buy,269139,1000,269139.5,5.351727818
62.357127986,buy,269139,1000,269139.5,0.000426862
81.828750914,sell,269101,1000,269100.5,19.345179173
84.686076383,sell,269101,1000,269100.5,2.698055846
85.930987799,sell,269103,370,269102.5,1.141741166
85.93100818,sell,269103,200,269102.5,1.141761547
85.931027516,sell,269103,430,269102.5,1.141780883
89.293887793,buy,269102,822,269102.5,4.50464116
89.293904381,buy,269102,178,269102.5,4.504657748
104.325408085,buy,269100,1000,269100.5,14.842411396
106.888787536,sell,269101,1000,269101.5,17.405790847
111.664765409,sell,269102,354,269101.5,4.675854441
111.664886711,sell,269102,200,269101.5,4.675975743
111.66493194,sell,269102,200,269101.5,4.676020972
111.664969943,sell,269102,200,269101.5,4.676058975
111.665002205,sell,269102,46,269101.5,4.676091237
