t_s,mid_ticks,inv_btc,pnl_usdt
0.09751205,269188.5,0,0
1.098490905,269188.5,0,0
2.101286885,269188.5,0,0
3.189951125,269188.5,0,0
4.190963599,269213.5,-0.01,-0.00245000000000203
5.192136034,269213.5,-0.01,-0.00245000000000203
6.193015376,269213.5,-0.01,-0.00245000000000203
7.195084741,269213.5,-0.01,-0.00245000000000203
8.195443769,269213.5,-0.01,-0.00245000000000203
9.193770663,269213.5,-0.01,-0.00245000000000203
10.194900314,269213.5,-0.01,-0.00245000000000203
11.19945461,269213.5,-0.01,-0.00245000000000203
12.194986295,269213.5,-0.01,-0.00245000000000203
13.196788033,269213.5,-0.02,-0.00240000000000633
14.198233389,269212.5,-0.01,-0.00225000000000008
15.097579933,269212.5,-0.01,-0.00225000000000008
16.199043304,269212.5,-0.01,-0.00225000000000008
17.1969604,269212.5,-0.01,-0.00225000000000008
18.127624506,269212.5,-0.01,-0.00225000000000008
19.102930145,269201.5,0,-0.00220000000000198
20.119199041,269162.5,0.03,-0.01185
21.113538084,269162.5,0.03,-0.01185
22.105000877,269161.5,0.04,-0.0122000000000026
23.124873428,269161.5,0.03,-0.0121500000000066
24.100288882,269161.5,0.04,-0.0120999999999993
25.103861571,269161.5,0.04,-0.0120999999999993
26.101621055,269161.5,0.04,-0.0120999999999993
27.100666413,269161.5,0.04,-0.0120999999999993
28.101313057,269161.5,0.04,-0.0120999999999993
29.099837761,269161.5,0.05,-0.012050000000001
30.101454798,269161.5,0.05,-0.012050000000001
31.09941827,269161.5,0.05,-0.012050000000001
32.100757715,269155.5,0.06,-0.0155999999999904
33.186629735,269155.5,0.06,-0.0155999999999904
34.186915773,269155.5,0.06,-0.0155999999999904
35.187141484,269153.5,0.06,-0.0176999999999999
36.19029902,269153.5,0.06,-0.0176999999999999
37.187901808,269110.5,0.09,-0.0510499999999781
38.190472323,269110.5,0.09,-0.0510499999999781
39.193081397,269110.5,0.09,-0.0510499999999781
40.190506464,269110.5,0.09,-0.0510499999999781
41.19012193,269110.5,0.09,-0.0510499999999781
42.18769465,269110.5,0.09,-0.0510499999999781
43.189897775,269110.5,0.09,-0.0510499999999781
44.189676091,269110.5,0.09,-0.0510499999999781
45.192344049,269110.5,0.09,-0.0510499999999781
46.190601592,269123.5,0.06,-0.0416999999999928
47.19110855,269123.5,0.06,-0.0416999999999928
48.192865345,269123.5,0.06,-0.0416999999999928
49.194904413,269123.5,0.06,-0.0416999999999928
50.193643277,269123.5,0.06,-0.0416999999999928
51.193656226,269123.5,0.05,-0.0416500000000082
52.194070087,269123.5,0.05,-0.0416500000000082
53.195541291,269123.5,0.05,-0.0416500000000082
54.106119648,269123.5,0.05,-0.0416500000000082
55.196545544,269166.5,0.01,-0.0324500000000083
56.1016041,269167.5,0,-0.0324000000000062
57.213747962,269167.5,0,-0.0324000000000062
58.101637837,269167.5,0,-0.0324000000000062
59.098975827,269167.5,0,-0.0324000000000062
60.099176425,269167.5,-0.01,-0.0323500000000065
61.099239417,269139.5,0.02,-0.0358000000000078
62.098463698,269139.5,0.02,-0.0358000000000078
63.187395332,269139.5,0.02,-0.0358000000000078
64.185722728,269139.5,0.02,-0.0358000000000078
65.189112149,269139.5,0.02,-0.0358000000000078
66.098301809,269139.5,0.02,-0.0358000000000078
67.187848828,269100.5,0.04,-0.0512999999999983
68.187534755,269100.5,0.04,-0.0512999999999983
69.188086494,269100.5,0.04,-0.0512999999999983
70.188568538,269100.5,0.04,-0.0512999999999983
71.192738781,269100.5,0.04,-0.0512999999999983
72.192917924,269100.5,0.04,-0.0512999999999983
73.194791941,269100.5,0.04,-0.0512999999999983
74.190019581,269100.5,0.04,-0.0512999999999983
75.190381754,269100.5,0.04,-0.0512999999999983
76.191969025,269100.5,0.04,-0.0512999999999983
77.194037518,269100.5,0.04,-0.0512999999999983
78.099780131,269100.5,0.04,-0.0512999999999983
79.136179849,269100.5,0.04,-0.0512999999999983
80.112545329,269100.5,0.04,-0.0512999999999983
81.139015306,269100.5,0.04,-0.0512999999999983
82.097763272,269100.5,0.04,-0.0512999999999983
83.099576572,269100.5,0.04,-0.0512999999999983
84.194526787,269100.5,0.04,-0.0512999999999983
85.195399335,269100.5,0.04,-0.0512999999999983
86.195690052,269100.5,0.03,-0.05125
87.09791386,269100.5,0.03,-0.05125
88.196547899,269100.5,0.03,-0.05125
89.099391302,269102.5,0.02,-0.0508000000000021
90.101342146,269102.5,0.01,-0.0507499999999971
91.206886903,269102.5,0.01,-0.0507499999999971
92.099411891,269102.5,0.01,-0.0507499999999971
93.1893842,269102.5,0.01,-0.0507499999999971
94.190247663,269100.5,0.02,-0.0510999999999984
