strategy,fill,gamma,k,tau,half_spread,latency_ms,fee_bps,size_lots,duration_s,fills,buys,sells,volume_btc,notional,spread_capture,inventory_pnl,fees,total_pnl,max_abs_inv,mean_abs_inv,final_inv,edge_ticks,markout1,markout5,markout30,realized1,realized5,realized30,wait_s,live_frac,cancels,post_only_rejects,gaps,dataset,label
touch,queue,0.1,0.0289,30,2,10,0,1000,1469.1,1438,658,780,8.5363,23073.52,0.0258,-3.0376,0.0,-3.0118,0.10825,0.0585,0.0658,0.387,-25.0265,-32.3314,-51.7806,-24.64,-31.9463,-51.3581,1.417,0.7124,784,0,0,ethusdt_c,touch
touch,queue,0.1,0.0289,30,2,0,0,1000,1469.1,1519,711,808,8.66186,23414.04,0.0476,-3.0577,0.0,-3.0101,0.10825,0.05941,0.06164,0.5359,-24.9041,-31.9435,-50.9823,-24.3679,-31.4069,-50.4243,1.319,0.6836,791,0,0,ethusdt_c,touch
touch,queue,0.1,0.0289,30,2,50,0,1000,1469.1,1378,646,732,8.427,22778.13,-0.0587,-2.9733,0.0,-3.032,0.1065,0.05849,0.0765,-0.2181,-24.7744,-32.3242,-50.5004,-24.9582,-32.5166,-50.6171,1.451,0.6975,779,0,0,ethusdt_c,touch
touch,queue,0.1,0.0289,30,2,200,0,1000,1469.1,1107,507,600,6.41527,17338.04,-0.0058,-2.9545,0.0,-2.9604,0.10825,0.05506,0.03527,0.1567,-24.0385,-28.1959,-42.4206,-23.857,-28.0188,-42.2115,1.702,0.6726,566,0,0,ethusdt_c,touch
touch,optimistic,0.1,0.0289,30,2,10,0,1000,1469.1,5281,2801,2480,22.505,60802.47,0.0976,-3.0992,0.0,-3.0016,0.1098,0.06705,0.0538,0.4924,-14.3948,-17.3443,-13.7972,-13.9024,-16.8519,-13.2996,0.764,0.6005,764,0,0,ethusdt_c,touch
touch,queue,0.1,0.0289,30,2,10,10,1000,1469.1,1438,658,780,8.5363,23073.52,0.0258,-3.0376,23.0735,-26.0853,0.10825,0.0585,0.0658,0.387,-25.0265,-32.3314,-51.7806,-24.64,-31.9463,-51.3581,1.417,0.7124,784,0,0,ethusdt_c,touch
touch,queue,0.1,0.0289,30,2,10,1,1000,1469.1,1438,658,780,8.5363,23073.52,0.0258,-3.0376,2.3074,-5.3192,0.10825,0.0585,0.0658,0.387,-25.0265,-32.3314,-51.7806,-24.64,-31.9463,-51.3581,1.417,0.7124,784,0,0,ethusdt_c,touch
touch,queue,0.1,0.0289,30,2,10,-0.5,1000,1469.1,1438,658,780,8.5363,23073.52,0.0258,-3.0376,-1.1537,-1.8581,0.10825,0.0585,0.0658,0.387,-25.0265,-32.3314,-51.7806,-24.64,-31.9463,-51.3581,1.417,0.7124,784,0,0,ethusdt_c,touch
fixed,queue,0.1,0.0289,30,2,10,0,1000,1469.1,1439,706,733,6.253,16907.81,0.1044,-3.6352,0.0,-3.5307,0.113,0.06175,0.073,1.9937,-33.3455,-40.8471,-54.5612,-31.3549,-38.8664,-52.5626,2.218,0.6718,718,0,0,ethusdt_c,fixed h=2
fixed,queue,0.1,0.0289,30,2,0,0,1000,1469.1,1456,726,730,6.293,17016.64,0.1256,-3.588,0.0,-3.4623,0.107,0.06325,0.073,2.1473,-33.3041,-40.9313,-54.5662,-31.1589,-38.793,-52.4056,2.145,0.6754,732,0,0,ethusdt_c,fixed h=2
