t_s,side,px_ticks,qty_lots,mid_ticks,queue_wait_s
0,sell,269420,1000,269438.5,0.388384405
0.086588167,buy,269439,1000,269438.5,0.004046234
99.054115545,sell,269426,1000,269378.5,0.336137647
101.429562968,buy,269494,1000,269494.5,2.285868259
288.21142202,buy,269368,1000,269409.5,0.932171747
298.004025782,sell,269390,1000,269423,1.112008741
381.165183436,sell,269596,1000,269554.5,0.025677605
383.90971321,buy,269607,1000,269607.5,2.609101989
510.007662718,sell,269492,1000,269455.5,1.306875516
510.180612967,buy,269520,1000,269519.5,0.030667586
621.782116953,sell,269537,1000,269501.5,3.084130876
660.918852389,buy,269708,1000,269722.5,0.000201383
677.907859356,sell,269762,1000,269721.5,1.509297135
705.477125286,buy,269998,1000,269999.5,3.577345445
873.3569489,sell,270582,1000,270525.5,0.458868435
873.576848287,buy,270799,1000,270762,0.030236206
960.7302772,buy,271099,1000,271146.5,0.774558782
965.436961975,sell,271051,1000,271050.5,2.038745102
990.802169938,buy,271015,190,271053.5,0.597783084
990.802182594,buy,271015,810,271053.5,0.59779574
993.069677801,sell,270947,498,270946.5,0.727993033
993.069946268,sell,270947,190,270946.5,0.7282615
993.070006528,sell,270947,190,270946.5,0.72832176
993.070032499,sell,270947,122,270946.5,0.728347731
1043.58867795,sell,271686,1000,271446.5,0.175073844
1043.750334005,buy,271729,760,271728,0.012593442
1043.750341667,buy,271729,240,271728,0.012601104
