t_s,mid_ticks,inv_btc,pnl_usdt
0.004324484,269770.5,0,0
1.099599348,269770.5,0,0
2.100550457,269770.5,0,0
3.148629407,269783.5,0,0
4.102936906,269799.5,0,0
5.100220474,269799.5,0,0
6.096074864,269799.5,0,0
7.09749539,269784.5,0,0
8.097331799,269799.5,0,0
9.095733054,269799.5,0,0
10.096625685,269799.5,0,0
11.098332329,269798.5,0,0
12.098489001,269738.5,0,0
13.097083404,269787.5,0,0
14.099564515,269787.5,0,0
15.09734821,269787.5,0,0
16.097029056,269787.5,0,0
17.09761055,269746.5,0,0
18.098330101,269746.5,0,0
19.14156686,269799.5,0,0
20.099852689,269799.5,0,0
21.098159406,269799.5,0,0
22.058165198,269866.5,0,0
23.101665307,269899.5,0,0
24.098950201,269956.5,0,0
25.101365157,269983.5,0,0
26.098861604,269983.5,0,0
27.101040667,269999.5,0,0
28.031253233,270013.5,0,0
29.015646932,269943.5,0,0
30.006379479,269943.5,0,0
31.043758117,269943.5,0,0
32.007098853,269878.5,0,0
33.073786608,269878.5,0,0
34.10175253,269878.5,0,0
35.101576236,269878.5,0,0
36.008560393,269878.5,0,0
37.026469325,269879.5,0,0
38.087971372,269879.5,0,0
39.088800734,269879.5,0,0
40.089662684,269920.5,0,0
41.090001173,269893.5,0,0
42.088351908,269884.5,0,0
43.08747259,269884.5,0,0
44.088152184,269884.5,0,0
45.087289376,269884.5,0,0
46.090550015,269847.5,0,0
47.089969809,269895.5,0,0
48.088309476,269895.5,0,0
49.088267444,269898.5,0,0
50.090738439,269950.5,0,0
51.088821475,269950.5,0,0
52.089441268,269950.5,0,0
53.089769555,269920.5,0,0
54.091915533,269920.5,0,0
55.094429815,269920.5,0,0
56.091810155,269894.5,0,0
57.091284121,269859.5,0,0
58.092386326,269859.5,0,0
59.093788403,269859.5,0,0
60.092021648,269859.5,0,0
61.093035459,269854.5,0,0
62.092930113,269854.5,0,0
63.094577101,269890.5,0,0
64.09440563,269890.5,0,0
65.096333985,269888.5,0,0
66.097982746,269854.5,0,0
67.097267035,269839.5,0,0
68.09835582,269836.5,0,0
69.098884212,269836.5,0,0
70.106037127,269836.5,0,0
71.097806185,269840.5,0,0
72.100628917,269840.5,0,0
73.098681149,269840.5,0,0
74.099910508,269840.5,0,0
75.102292915,269840.5,0,0
76.101286203,269840.5,0,0
77.10055777,269820.5,0,0
78.100837258,269825.5,0,0
79.10126446,269825.5,0,0
80.100053046,269825.5,0,0
81.101427941,269854.5,0,0
82.0982795,269854.5,0,0
83.097262446,269854.5,0,0
84.097185904,269854.5,0,0
85.097581805,269854.5,0,0
86.097470537,269854.5,0,0
87.100732729,269799.5,0,0
88.099428056,269799.5,0,0
89.005238963,269799.5,0,0
90.007549947,269799.5,0,0
91.102971091,269799.5,0,0
92.016085343,269777.5,0,0
93.006348702,269799.5,0,0
94.007514868,269799.5,0,0
95.100508965,269776.5,0,0
96.102038896,269776.5,0,0
97.096038083,269737.5,0,0
98.092966451,269737.5,0,0
99.092140193,269725.5,0,0
100.092442412,269725.5,0,0
101.103007923,269725.5,0,0
102.099858317,269711.5,0,0
103.096201515,269711.5,0,0
104.097570482,269711.5,0,0
105.108750168,269711.5,0,0
106.098002406,269711.5,0,0
107.095098433,269711.5,0,0
108.098124447,269711.5,0,0
109.099608965,269711.5,0,0
110.097224377,269711.5,0,0
111.005965316,269685.5,0,0
112.098372733,269685.5,0,0
113.116201629,269685.5,0,0
114.100714054,269685.5,0,0
115.101317505,269685.5,0,0
116.098964002,269685.5,0,0
117.102124548,269685.5,0,0
118.097629889,269676.5,0,0
119.0980623,269647.5,0,0
120.098226635,269647.5,0,0
121.097987344,269647.5,0,0
122.101145926,269647.5,0,0
123.099522935,269643.5,0,0
124.097975251,269600.5,0,0
125.097241376,269600.5,0,0
126.098343162,269600.5,0,0
127.09602648,269600.5,0,0
128.095003195,269600.5,0,0
129.095650702,269600.5,0,0
130.095386571,269600.5,0,0
131.094323044,269600.5,0,0
132.096224308,269566.5,0,0
133.094714357,269583.5,0,0
134.09436706,269601.5,0,0
135.095155898,269601.5,0,0
136.096134051,269636.5,0,0
137.095563989,269636.5,0,0
138.095057472,269633.5,0,0
139.098121089,269608.5,0,0
140.096953053,269608.5,0,0
141.095305716,269608.5,0,0
142.095198909,269608.5,0,0
143.096887621,269608.5,0,0
144.097506962,269608.5,0,0
145.097611926,269608.5,0,0
146.096100783,269606.5,0,0
147.096713471,269579.5,0,0
148.096729741,269579.5,0,0
149.096144213,269579.5,0,0
150.0976314,269579.5,0,0
151.096905974,269579.5,0,0
152.097539899,269574.5,0,0
153.099442409,269574.5,0,0
154.097909232,269574.5,0,0
155.097370011,269574.5,0,0
156.098436264,269574.5,0,0
157.095848341,269552.5,0,0
158.097001218,269552.5,0,0
159.094120752,269552.5,0,0
160.093930423,269552.5,0,0
161.004488687,269552.5,0,0
162.09842064,269552.5,0,0
163.099567378,269552.5,0,0
164.100738647,269552.5,0,0
165.099594941,269552.5,0,0
166.075985246,269552.5,0,0
167.09530237,269515.5,0,0
168.097546266,269515.5,0,0
169.095692426,269574.5,0,0
170.097593026,269574.5,0,0
171.096242546,269574.5,0,0
172.095602642,269574.5,0,0
173.096231095,269574.5,0,0
174.096000603,269574.5,0,0
175.095867011,269574.5,0,0
176.099982788,269574.5,0,0
177.099534307,269574.5,0,0
178.103410012,269574.5,0,0
179.100249856,269574.5,0,0
180.009980399,269574.5,0,0
181.006493284,269574.5,0,0
182.096577289,269574.5,0,0
183.097265921,269574.5,0,0
184.096985593,269574.5,0,0
185.096662645,269574.5,0,0
186.098878015,269574.5,0,0
187.096225667,269545.5,0,0
188.093768035,269525.5,0,0
