t_s,side,px_ticks,qty_lots,mid_ticks,queue_wait_s
0,buy,269747,200,269782.5,0.030799693
6.77e-06,buy,269747,200,269782.5,0.030806463
1.3394e-05,buy,269747,200,269782.5,0.030813087
2.0642e-05,buy,269747,400,269782.5,0.030820335
5.007846982,buy,269752,1000,269787.5,3.238740908
7.642294022,sell,269781,200,269746.5,2.471183208
7.64230246,sell,269781,200,269746.5,2.471191646
7.642311249,sell,269781,200,269746.5,2.471200435
7.642318722,sell,269781,400,269746.5,2.471207908
10.566632091,sell,269834,1000,269799.5,2.696028126
12.517885747,sell,269935,1000,269899.5,1.620463849
20.311202488,buy,269891,1000,269925.5,0.034638595
28.742623252,sell,269914,1000,269879.5,8.324555985
35.145233827,sell,269883,1000,269847.5,0.685750159
38.006015842,sell,269934,1000,269898.5,1.04398364
44.992424757,buy,269860,1000,269894.5,0.228591932
51.353904078,sell,269890,189,269854.5,1.687906091
51.353911413,sell,269890,200,269854.5,1.687913426
51.353941135,sell,269890,611,269890.5,1.687943148
75.376349279,buy,269820,1000,269854.5,5.504126106
85.002206329,buy,269742,1000,269776.5,1.123528267
119.994985372,buy,269566,189,269600.5,7.523502796
119.995007913,buy,269566,811,269600.5,7.523525337
124.557846217,sell,269637,190,269601.5,2.591570892
124.557865106,sell,269637,190,269601.5,2.591589781
124.557879451,sell,269637,190,269601.5,2.591604126
124.55789219,sell,269637,430,269601.5,2.591616865
155.036982212,buy,269517,189,269552.5,9.870554305
155.037569083,buy,269517,811,269552.5,9.871141176
157.148046371,sell,269551,1000,269515.5,1.979993829
324.991598495,buy,269370,1000,269405.5,4.824710641
337.756073652,sell,269409,1000,269373.5,3.391255797
408.831935374,sell,269415,1000,269379.5,5.089244877
436.810655986,sell,269414,10,269378.5,0.33538357
436.810687075,sell,269414,200,269378.5,0.335414659
436.810719553,sell,269414,790,269378.5,0.335447137
439.98760188,buy,269441,1000,269475.5,0.229251403
446.38680543,sell,269472,1000,269436.5,6.224982687
446.646909228,buy,269438,1000,269400,0.11316849
625.968480067,buy,269374,1000,269409.5,4.596988525
635.7613203,sell,269410,1000,269423,9.679713616
635.889464048,sell,269458,1000,269423,0.116681113
648.515285624,sell,269545,1000,269542.5,1.46525068
648.614856447,sell,269604,1000,269568.5,0.022961928
658.4574235,sell,269623,1000,269640,0.009932701
677.978594555,buy,269557,1000,269591.5,0.454329465
709.529909339,sell,269544,1000,269509.5,0.454745224
718.922327985,sell,269590,1000,269554.5,6.969425274
733.06841492,buy,269550,1000,269573.5,1.510341603
737.789376333,buy,269466,1000,269500.5,1.063586377
847.764938307,sell,269491,1000,269455.5,14.704873203
867.739683393,sell,269679,200,269643.5,2.680907687
867.739691242,sell,269679,800,269643.5,2.680915536
959.539411471,sell,269537,1000,269501.5,19.383064253
1015.663655834,sell,269757,1000,269721.5,14.907596726
1016.097861782,sell,269836,1000,269799.5,0.253630006
1094.420404935,buy,269949,1000,269982.5,0.047682727
1097.953684207,sell,270075,1000,270038.5,0.098713259
1098.489012488,buy,270119,1000,270151.5,0.002019067
1107.462348404,sell,270211,1000,270173.5,4.807605349
1166.028002305,buy,270459,190,270460.5,0.210328452
1166.028026542,buy,270459,190,270460.5,0.210352689
1166.028052539,buy,270459,190,270460.5,0.210378686
1166.028077058,buy,270459,190,270460.5,0.210403205
1166.028101785,buy,270459,240,270460.5,0.210427932
1166.039923678,buy,270426,150,270432.5,0.000826571
1166.039957828,buy,270426,190,270432.5,0.000860721
1166.039984641,buy,270426,190,270432.5,0.000887534
1166.040009226,buy,270426,190,270432.5,0.000912119
1166.040046567,buy,270426,200,270432.5,0.00094946
1166.040071891,buy,270426,80,270432.5,0.000974784
1172.44813081,buy,270378,187,270412.5,2.696827444
1172.448163863,buy,270378,190,270412.5,2.696860497
1172.448213028,buy,270378,200,270412.5,2.696909662
1172.448255039,buy,270378,200,270412.5,2.696951673
1172.448293436,buy,270378,223,270412.5,2.69699007
1187.111083409,sell,270475,1000,270439.5,0.758637106
1211.087252486,sell,270561,549,270525.5,6.243097529
1211.087259339,sell,270561,190,270525.5,6.243104382
1211.087265667,sell,270561,190,270525.5,6.24311071
1211.087272263,sell,270561,71,270525.5,6.243117306
1211.334142805,buy,270739,1000,270762,0.030236206
1211.334477401,sell,270810,1000,270762,0.030570802
1211.472395139,buy,270782,10,270805,0.000378495
1211.472402485,buy,270782,200,270805,0.000385841
1211.472410021,buy,270782,200,270805,0.000393377
1211.472417696,buy,270782,590,270805,0.000401052
1211.512438065,sell,270833,1000,270785.5,0.002335872
1211.627113743,sell,270851,1000,270802.5,0.020611887
1213.012164875,buy,270921,1000,270942.5,0.085429356
1213.432241567,sell,270968,1000,270919.5,0.315318374
1214.583756013,buy,271222,1000,271232,0.035792179
1214.766714744,buy,271270,1000,271282,0.000189302
1214.846820205,buy,271216,1000,271230.5,0.037269954
1214.930402419,buy,271213,1000,271230.5,0
1215.098881397,buy,271236,1000,271255.5,0
1215.243100132,buy,271232,1000,271210.5,0.040772473
1215.600556338,buy,271211,1000,271236.5,0.284456427
1215.742549063,sell,271228,1000,271183.5,0.059104985
1216.119284849,buy,271270,1000,271295.5,0.044543228
1216.77081931,buy,271318,1000,271312.5,0.181932443
1216.944312371,sell,271381,1000,271339.5,0.117171794
1217.00606577,buy,271364,1000,271392.5,0.033501965
1217.150940671,sell,271382,1000,271339.5,0.03466515
1218.502562493,buy,271392,1000,271420.5,0.32963432
1218.656753382,buy,271344,1000,271362.5,0.082894063
1218.693739688,buy,271331,1000,271362.5,0.008459723
1218.887199201,sell,271292,1000,271255.5,0.013555438
1219.118363584,buy,271277,1000,271310.5,0.037975321
1220.365377047,sell,271319,1000,271282.5,0.584432982
1225.304150408,buy,271250,1000,271284.5,0.026750947
1226.447777375,sell,271195,1000,271158.5,0.050897702
1226.488874494,buy,271228,1000,271261.5,0.003551326
1227.369439375,sell,271305,1000,271268.5,0.705344834
1227.563297624,buy,271278,1000,271312.5,0.016761138
1231.323796206,buy,271263,1000,271298.5,0.055558973
1232.630890374,sell,271237,190,271202.5,0.944615678
1232.630898687,sell,271237,190,271202.5,0.944623991
1232.630906162,sell,271237,190,271202.5,0.944631466
1232.630913549,sell,271237,190,271202.5,0.944638853
1232.630920913,sell,271237,240,271202.5,0.944646217
1236.186720858,sell,271264,1000,271228.5,0.140602881
1238.294832863,buy,271236,106,271270.5,1.946992612
1238.294842641,buy,271236,190,271270.5,1.94700239
1238.294851802,buy,271236,190,271270.5,1.947011551
1238.341622116,buy,271236,514,271270.5,1.993781865
1247.035398319,buy,271027,1000,271062.5,0.088259983
1248.925602992,buy,270954,1000,270990.5,0.037005972
1252.639194909,sell,270961,1000,270926.5,1.190918897
1271.259546843,buy,271074,190,271087.5,0.292628463
1271.259565611,buy,271074,810,271087.5,0.292647231
1273.783990926,sell,271107,1000,271072.5,2.332347618
1274.606666872,buy,271094,1000,271129.5,0.053569979
1275.559951159,sell,271129,1000,271100.5,0.807678315
1275.571175013,sell,271135,1000,271100.5,0
1298.486922234,buy,271111,1000,271146.5,1.777309179
1328.559371156,buy,271019,189,271053.5,10.267780572
1328.559385433,buy,271019,190,271053.5,10.267794849
1328.559399283,buy,271019,190,271053.5,10.267808699
1328.559411811,buy,271019,431,271053.5,10.267821227
1331.720941779,sell,271038,1000,271003.5,0.001751937
1332.838399174,buy,271014,190,271049.5,1.059450189
1332.838415341,buy,271014,190,271049.5,1.059466356
1332.838432557,buy,271014,620,271049.5,1.059483572
1343.560539264,sell,270873,190,270838.5,0.131201866
1343.561060363,sell,270873,190,270838.5,0.131722965
1343.56135878,sell,270873,190,270838.5,0.132021382
1343.561569167,sell,270873,190,270838.5,0.132231769
1343.561763913,sell,270873,190,270838.5,0.132426515
1343.561949051,sell,270873,50,270838.5,0.132611653
1357.60803263,sell,270866,1000,270831.5,4.359730438
1362.678619907,sell,270910,190,270874.5,0.826557034
1362.678627143,sell,270910,810,270874.5,0.82656427
1373.798504764,sell,271056,185,271021.5,7.695526302
1373.798577221,sell,271056,190,271021.5,7.695598759
1373.798633248,sell,271056,190,271021.5,7.695654786
1373.798682507,sell,271056,200,271021.5,7.695704045
1373.798730287,sell,271056,200,271021.5,7.695751825
1373.798770503,sell,271056,35,271021.5,7.695792041
1373.879161987,sell,271108,1000,271072.5,0.009646658
1379.8868516,sell,271307,1000,271271.5,0.327659406
1380.398295116,sell,271370,1000,271333.5,0.021643457
1381.159003872,sell,271438,1000,271446.5,0.609473046
1381.17134439,sell,271484,190,271446.5,0.000445766
1381.171360232,sell,271484,190,271446.5,0.000461608
1381.171375695,sell,271484,620,271446.5,0.000477071
1381.50339877,sell,271780,1000,271728,0.008363689
1381.510343004,buy,271708,1000,271704.5,0.015307923
1381.734479034,buy,271669,1000,271689.5,0.159866815
1381.814614821,buy,271667,1000,271689.5,0
1381.957904839,buy,271607,1000,271631.5,0.040769765
1382.182868638,buy,271585,200,271611.5,0.034487947
1382.182898649,buy,271585,200,271611.5,0.034517958
1382.182911279,buy,271585,200,271611.5,0.034530588
1382.182919473,buy,271585,400,271611.5,0.034538782
1382.233810878,buy,271567,10,271596.5,0.007844947
1382.233818511,buy,271567,200,271596.5,0.00785258
1382.233832191,buy,271567,190,271596.5,0.00786626
1382.233841443,buy,271567,190,271596.5,0.007875512
1382.23384893,buy,271567,200,271596.5,0.007882999
1382.233855911,buy,271567,190,271596.5,0.00788998
1382.233862662,buy,271567,20,271596.5,0.007896731
1382.302975906,buy,271565,1000,271596.5,0
1382.579697531,buy,271516,1000,271549.5,0.048411241
1382.828088288,buy,271488,190,271524.5,0.224147212
1382.82809521,buy,271488,810,271524.5,0.224154134
1383.143877232,buy,271435,1000,271473.5,0.301495837
1384.526732901,sell,271446,190,271414.5,0.325672394
1384.526748566,sell,271446,810,271414.5,0.325688059
1385.981628634,buy,271439,1,271477.5,0.630979726
1385.981649276,buy,271439,200,271477.5,0.631000368
1385.981670714,buy,271439,200,271477.5,0.631021806
1385.981690995,buy,271439,200,271477.5,0.631042087
1385.98171327,buy,271439,399,271477.5,0.631064362
1387.803253108,sell,271298,1000,271265.5,0.164253809
1388.554348148,sell,271364,1000,271376.5,0.60366684
1389.012478436,buy,271299,1000,271335.5,0.044714319
1391.853011498,sell,271346,190,271311.5,1.201743377
1391.853019908,sell,271346,190,271311.5,1.201751787
1391.853028509,sell,271346,190,271311.5,1.201760388
1391.853038062,sell,271346,190,271311.5,1.201769941
1391.853047634,sell,271346,190,271311.5,1.201779513
1391.853056987,sell,271346,50,271311.5,1.201788866
1392.023518118,buy,271330,1000,271365.5,0.072060588
1397.736160911,sell,271312,1000,271277.5,0.983467691
1399.529178681,sell,271341,190,271305,0.00149659
1399.529201341,sell,271341,190,271305,0.00151925
1399.529225002,sell,271341,620,271305,0.001542911
1400.011679767,buy,271315,1000,271349.5,0.003255176
