t_s,mid_ticks,inv_btc,pnl_usdt
0.004324484,269770.5,0,0
1.099599348,269770.5,0,0
2.100550457,269770.5,0,0
3.148629407,269783.5,0,0
4.102936906,269799.5,0,0
5.100220474,269799.5,0,0
6.096074864,269799.5,0,0
7.09749539,269784.5,0,0
8.097331799,269799.5,0,0
9.095733054,269799.5,0,0
10.096625685,269799.5,0,0
11.098332329,269798.5,0,0
12.098489001,269738.5,0.01,-0.000849999999999376
13.097083404,269787.5,0.01,0.00404999999999844
14.099564515,269787.5,0.01,0.00404999999999844
15.09734821,269787.5,0.01,0.00404999999999844
16.097029056,269787.5,0.01,0.00404999999999844
17.09761055,269746.5,0.02,-0.000599999999995489
18.098330101,269746.5,0.02,-0.000599999999995489
19.14156686,269799.5,0.01,0.0081500000000048
20.099852689,269799.5,0.01,0.0081500000000048
21.098159406,269799.5,0.01,0.0081500000000048
22.058165198,269866.5,0,0.0116000000000085
23.101665307,269899.5,0,0.0116000000000085
24.098950201,269956.5,-0.01,0.00945000000000832
25.101365157,269983.5,-0.01,0.0067500000000085
26.098861604,269983.5,-0.01,0.0067500000000085
27.101040667,269999.5,-0.01,0.00515000000000996
28.031253233,270013.5,-0.01,0.00375000000000669
29.015646932,269943.5,-0.01,0.0107500000000094
30.006379479,269943.5,-0.01,0.0107500000000094
31.043758117,269943.5,-0.01,0.0107500000000094
32.007098853,269878.5,0,0.0160000000000089
33.073786608,269878.5,0,0.0160000000000089
34.10175253,269878.5,0,0.0160000000000089
35.101576236,269878.5,0,0.0160000000000089
36.008560393,269878.5,0,0.0160000000000089
37.026469325,269879.5,0,0.0160000000000089
38.087971372,269879.5,0,0.0160000000000089
39.088800734,269879.5,0,0.0160000000000089
40.089662684,269920.5,-0.01,0.0153500000000113
41.090001173,269893.5,-0.01,0.0180500000000112
42.088351908,269884.5,-0.01,0.0189500000000081
43.08747259,269884.5,-0.01,0.0189500000000081
44.088152184,269884.5,-0.01,0.0189500000000081
45.087289376,269884.5,-0.01,0.0189500000000081
46.090550015,269847.5,-0.01,0.0226500000000115
47.089969809,269895.5,-0.02,0.0166000000000139
48.088309476,269895.5,-0.02,0.0166000000000139
49.088267444,269898.5,-0.02,0.0160000000000099
50.090738439,269950.5,-0.03,0.00395000000000268
51.088821475,269950.5,-0.03,0.00395000000000268
52.089441268,269950.5,-0.03,0.00395000000000268
53.089769555,269920.5,-0.03,0.012949999999999
54.091915533,269920.5,-0.03,0.012949999999999
55.094429815,269920.5,-0.03,0.012949999999999
56.091810155,269894.5,-0.03,0.0207499999999965
57.091284121,269859.5,-0.02,0.0311999999999972
58.092386326,269859.5,-0.02,0.0311999999999972
59.093788403,269859.5,-0.02,0.0311999999999972
60.092021648,269859.5,-0.02,0.0311999999999972
61.093035459,269854.5,-0.02,0.0322000000000009
62.092930113,269854.5,-0.02,0.0322000000000009
63.094577101,269890.5,-0.03,0.0249499999999955
64.09440563,269890.5,-0.03,0.0249499999999955
65.096333985,269888.5,-0.03,0.0255499999999995
66.097982746,269854.5,-0.03,0.0357500000000039
67.097267035,269839.5,-0.03,0.0402500000000021
68.09835582,269836.5,-0.03,0.0411500000000035
69.098884212,269836.5,-0.03,0.0411500000000035
70.106037127,269836.5,-0.03,0.0411500000000035
71.097806185,269840.5,-0.03,0.0399499999999955
72.100628917,269840.5,-0.03,0.0399499999999955
73.098681149,269840.5,-0.03,0.0399499999999955
74.099910508,269840.5,-0.03,0.0399499999999955
75.102292915,269840.5,-0.03,0.0399499999999955
76.101286203,269840.5,-0.03,0.0399499999999955
77.10055777,269820.5,-0.03,0.0459499999999992
78.100837258,269825.5,-0.03,0.0444500000000028
79.10126446,269825.5,-0.03,0.0444500000000028
80.100053046,269825.5,-0.03,0.0444500000000028
81.101427941,269854.5,-0.03,0.0357500000000039
82.0982795,269854.5,-0.03,0.0357500000000039
83.097262446,269854.5,-0.03,0.0357500000000039
84.097185904,269854.5,-0.03,0.0357500000000039
85.097581805,269854.5,-0.03,0.0357500000000039
86.097470537,269854.5,-0.03,0.0357500000000039
87.100732729,269799.5,-0.02,0.0502000000000024
88.099428056,269799.5,-0.02,0.0502000000000024
89.005238963,269799.5,-0.02,0.0502000000000024
90.007549947,269799.5,-0.02,0.0502000000000024
91.102971091,269799.5,-0.02,0.0502000000000024
92.016085343,269777.5,-0.02,0.0545999999999984
93.006348702,269799.5,-0.02,0.0502000000000024
94.007514868,269799.5,-0.02,0.0502000000000024
95.100508965,269776.5,-0.02,0.0548000000000028
96.102038896,269776.5,-0.02,0.0548000000000028
97.096038083,269737.5,-0.01,0.0621499999999975
98.092966451,269737.5,-0.01,0.0621499999999975
99.092140193,269725.5,-0.01,0.0633499999999964
100.092442412,269725.5,-0.01,0.0633499999999964
101.103007923,269725.5,-0.01,0.0633499999999964
102.099858317,269711.5,-0.01,0.0647499999999951
103.096201515,269711.5,-0.01,0.0647499999999951
104.097570482,269711.5,-0.01,0.0647499999999951
105.108750168,269711.5,-0.01,0.0647499999999951
106.098002406,269711.5,-0.01,0.0647499999999951
107.095098433,269711.5,-0.01,0.0647499999999951
108.098124447,269711.5,-0.01,0.0647499999999951
109.099608965,269711.5,-0.01,0.0647499999999951
110.097224377,269711.5,-0.01,0.0647499999999951
111.005965316,269685.5,-0.01,0.0673499999999973
112.098372733,269685.5,-0.01,0.0673499999999973
113.116201629,269685.5,-0.01,0.0673499999999973
114.100714054,269685.5,-0.01,0.0673499999999973
115.101317505,269685.5,-0.01,0.0673499999999973
116.098964002,269685.5,-0.01,0.0673499999999973
117.102124548,269685.5,-0.01,0.0673499999999973
118.097629889,269676.5,-0.01,0.0682499999999988
119.0980623,269647.5,-0.01,0.0711499999999984
