t_s,mid_ticks,inv_btc,pnl_usdt
0.004324484,269770.5,0,0
1.099599348,269770.5,0,0
2.100550457,269770.5,0,0
3.148629407,269783.5,-0.01,-0.000249999999999624
4.102936906,269799.5,-0.02,-0.00239999999999581
5.100220474,269799.5,-0.02,-0.00239999999999581
6.096074864,269799.5,-0.02,-0.00239999999999581
7.09749539,269784.5,-0.01,0.000149999999993476
8.097331799,269799.5,-0.02,-0.00179999999999721
9.095733054,269799.5,-0.02,-0.00179999999999721
10.096625685,269799.5,-0.02,-0.00179999999999721
11.098332329,269798.5,-0.02,-0.00160000000000194
12.098489001,269738.5,0,0.00199999999998823
13.097083404,269787.5,-0.02,-0.0023000000000104
14.099564515,269787.5,-0.02,-0.0023000000000104
15.09734821,269787.5,-0.02,-0.0023000000000104
16.097029056,269787.5,-0.02,-0.0023000000000104
17.09761055,269746.5,-0.01,0.00284999999999358
18.098330101,269746.5,-0.01,0.00284999999999358
19.14156686,269799.5,-0.02,-0.00670000000000356
20.099852689,269799.5,-0.02,-0.00670000000000356
21.098159406,269799.5,-0.02,-0.00670000000000356
22.058165198,269866.5,-0.03,-0.0257500000000198
23.101665307,269899.5,-0.04,-0.0378999999999899
24.098950201,269956.5,-0.06,-0.0661000000000069
25.101365157,269983.5,-0.07,-0.0839500000000026
26.098861604,269983.5,-0.07,-0.0839500000000026
27.101040667,269999.5,-0.08,-0.0953999999999643
28.031253233,270013.5,-0.09,-0.106950000000007
29.015646932,269943.5,-0.06,-0.0558999999999775
30.006379479,269943.5,-0.06,-0.0558999999999775
31.043758117,269943.5,-0.06,-0.0558999999999775
32.007098853,269878.5,-0.04,-0.0259999999999718
33.073786608,269878.5,-0.04,-0.0259999999999718
34.10175253,269878.5,-0.04,-0.0259999999999718
35.101576236,269878.5,-0.04,-0.0259999999999718
36.008560393,269878.5,-0.04,-0.0259999999999718
37.026469325,269879.5,-0.04,-0.0263999999999805
38.087971372,269879.5,-0.04,-0.0263999999999805
39.088800734,269879.5,-0.04,-0.0263999999999805
40.089662684,269920.5,-0.05,-0.0459499999999917
41.090001173,269893.5,-0.04,-0.0340999999999883
42.088351908,269884.5,-0.04,-0.0305000000000007
43.08747259,269884.5,-0.04,-0.0305000000000007
44.088152184,269884.5,-0.04,-0.0305000000000007
45.087289376,269884.5,-0.04,-0.0305000000000007
46.090550015,269847.5,-0.03,-0.0179500000000007
47.089969809,269895.5,-0.04,-0.036099999999999
48.088309476,269895.5,-0.04,-0.036099999999999
49.088267444,269898.5,-0.04,-0.037300000000007
50.090738439,269950.5,-0.05,-0.0622500000000064
51.088821475,269950.5,-0.05,-0.0622500000000064
52.089441268,269950.5,-0.05,-0.0622500000000064
53.089769555,269920.5,-0.04,-0.0484999999999934
54.091915533,269920.5,-0.04,-0.0484999999999934
55.094429815,269920.5,-0.04,-0.0484999999999934
56.091810155,269894.5,-0.03,-0.0396500000000048
57.091284121,269859.5,-0.02,-0.0315999999999985
58.092386326,269859.5,-0.02,-0.0315999999999985
59.093788403,269859.5,-0.02,-0.0315999999999985
60.092021648,269859.5,-0.02,-0.0315999999999985
61.093035459,269854.5,-0.01,-0.0300500000000004
62.092930113,269854.5,-0.01,-0.0300500000000004
63.094577101,269890.5,-0.02,-0.0362000000000012
64.09440563,269890.5,-0.02,-0.0362000000000012
65.096333985,269888.5,-0.02,-0.0358000000000015
66.097982746,269854.5,-0.01,-0.0313499999999973
67.097267035,269839.5,0,-0.0302999999999969
68.09835582,269836.5,0,-0.0302999999999969
69.098884212,269836.5,0,-0.0302999999999969
70.106037127,269836.5,0,-0.0302999999999969
71.097806185,269840.5,0,-0.0302999999999969
72.100628917,269840.5,0,-0.0302999999999969
73.098681149,269840.5,0,-0.0302999999999969
74.099910508,269840.5,0,-0.0302999999999969
75.102292915,269840.5,0,-0.0302999999999969
76.101286203,269840.5,0,-0.0302999999999969
77.10055777,269820.5,0.01,-0.0308499999999985
78.100837258,269825.5,0.01,-0.0303499999999967
79.10126446,269825.5,0.01,-0.0303499999999967
80.100053046,269825.5,0.01,-0.0303499999999967
81.101427941,269854.5,0,-0.0290999999999961
82.0982795,269854.5,0,-0.0290999999999961
83.097262446,269854.5,0,-0.0290999999999961
84.097185904,269854.5,0,-0.0290999999999961
85.097581805,269854.5,0,-0.0290999999999961
86.097470537,269854.5,0,-0.0290999999999961
87.100732729,269799.5,0.01,-0.0335499999999975
88.099428056,269799.5,0.01,-0.0335499999999975
89.005238963,269799.5,0.01,-0.0335499999999975
90.007549947,269799.5,0.01,-0.0335499999999975
91.102971091,269799.5,0.01,-0.0335499999999975
92.016085343,269777.5,0.02,-0.0368999999999863
93.006348702,269799.5,0.01,-0.033649999999983
94.007514868,269799.5,0.01,-0.033649999999983
95.100508965,269776.5,0.02,-0.0369999999999874
96.102038896,269776.5,0.02,-0.0369999999999874
97.096038083,269737.5,0.03,-0.04764999999998
98.092966451,269737.5,0.03,-0.04764999999998
99.092140193,269725.5,0.04,-0.0514000000000016
100.092442412,269725.5,0.04,-0.0514000000000016
101.103007923,269725.5,0.04,-0.0514000000000016
102.099858317,269711.5,0.05,-0.0573500000000041
103.096201515,269711.5,0.05,-0.0573500000000041
104.097570482,269711.5,0.05,-0.0573500000000041
105.108750168,269711.5,0.05,-0.0573500000000041
106.098002406,269711.5,0.05,-0.0573500000000041
107.095098433,269711.5,0.05,-0.0573500000000041
108.098124447,269711.5,0.05,-0.0573500000000041
109.099608965,269711.5,0.05,-0.0573500000000041
110.097224377,269711.5,0.05,-0.0573500000000041
111.005965316,269685.5,0.06,-0.0713000000000114
112.098372733,269685.5,0.06,-0.0713000000000114
113.116201629,269685.5,0.06,-0.0713000000000114
