t_s,side,px_ticks,qty_lots,mid_ticks,queue_wait_s
0,sell,269771,1000,269770.5,2.814526909
0.327552006,sell,269784,1000,269799.5,0
3.419766231,buy,269799,1000,269799.5,3.071064782
4.539811048,sell,269785,1000,269784.5,0.962682195
7.979290867,buy,269799,1000,269798.5,3.300499981
8.240251187,buy,269798,1000,269798.5,0.161373892
8.40974127,buy,269782,190,269782.5,0.030466293
8.409751784,buy,269782,190,269782.5,0.030476807
8.409760618,buy,269782,190,269782.5,0.030485641
8.409768999,buy,269782,430,269782.5,0.030494022
9.250127908,sell,269739,1000,269738.5,0.671244856
10.062607157,sell,269773,1000,269772.5,0.680999025
13.414472061,buy,269787,1000,269787.5,3.235291317
16.05118262,sell,269747,1000,269746.5,2.469997136
18.969653798,sell,269800,189,269799.5,2.688975163
18.969662728,sell,269800,190,269799.5,2.688984093
18.96967062,sell,269800,190,269799.5,2.688991985
18.969678291,sell,269800,190,269799.5,2.688999656
18.969685836,sell,269800,241,269799.5,2.689007201
19.267616646,sell,269867,1000,269866.5,0.257605424
20.924201966,sell,269900,1000,269899.5,1.616705398
21.064376237,sell,269936,1000,269935.5,0.0001718
21.091156604,sell,269939,1000,269938.5,0
21.280541215,sell,269957,1000,269957.5,0.046649862
21.394541237,sell,269958,1000,269957.5,0.014132317
23.944722204,sell,269984,1000,269983.5,2.363892164
24.023473628,sell,269987,1000,269986.5,0.016086288
25.533273564,buy,270013,1000,270013.5,0.840466503
25.727900254,buy,270000,1000,270000.5,0.003399342
25.932956843,buy,269972,1000,269972.5,0
25.994154236,buy,269967,190,269967.5,0.019831859
25.994264228,buy,269967,190,269967.5,0.019941851
25.994378663,buy,269967,190,269967.5,0.020056286
25.994613213,buy,269967,190,269967.5,0.020290836
25.994825681,buy,269967,200,269967.5,0.020503304
25.994973752,buy,269967,40,269967.5,0.020651375
28.622313457,buy,269943,1000,269943.5,2.524569185
28.687585013,buy,269925,1000,269925.5,0.00094645
33.379866837,sell,269879,1000,269879.5,4.5517249
35.35154382,sell,269880,1000,269879.5,1.939651147
36.513515867,sell,269880,17,269879.5,1.042670509
36.51361212,sell,269880,600,269879.5,1.042766762
36.543532403,sell,269880,383,269879.5,1.072687045
37.139627978,sell,269880,1000,269879.5,0.542629139
37.399014308,buy,269920,1000,269920.5,0.127925149
38.402108365,buy,269893,1000,269893.5,0.83186087
42.508292972,buy,269884,1000,269884.5,3.938239491
42.73926208,buy,269880,190,269880.5,0.148035252
42.739269151,buy,269880,810,269880.5,0.148042323
43.52328615,sell,269848,1000,269847.5,0.653727812
45.223591105,sell,269896,53,269895.5,1.553303431
45.24220165,sell,269896,90,269895.5,1.571913976
45.242261652,sell,269896,390,269895.5,1.571973978
45.242274878,sell,269896,190,269895.5,1.571987204
45.242284824,sell,269896,190,269895.5,1.57199715
45.24229346,sell,269896,87,269895.5,1.572005786
46.393159858,sell,269899,190,269898.5,1.021052986
46.393756221,sell,269899,190,269898.5,1.021649349
46.393831163,sell,269899,190,269898.5,1.021724291
46.393877755,sell,269899,190,269898.5,1.021770883
46.40109461,sell,269899,190,269898.5,1.028987738
46.401216163,sell,269899,50,269898.5,1.029109291
48.396854733,buy,269950,1000,269950.5,1.868376251
49.541331228,buy,269950,1000,269950.5,0.970198837
49.595375353,buy,269943,1000,269943.5,0.000130916
52.836507558,buy,269920,1000,269920.5,3.063688955
52.977129261,buy,269898,1000,269897.5,0.012076244
53.014205509,buy,269897,1000,269897.5,0
53.400759314,buy,269894,1000,269894.5,0.226851819
57.420986313,buy,269859,1000,269859.5,3.844467898
57.575528487,buy,269846,1000,269844.5,0
57.91966623,sell,269845,1000,269844.5,0.244859728
58.596453609,sell,269855,169,269854.5,0.520380952
58.596561347,sell,269855,120,269854.5,0.52048869
58.942725682,sell,269855,300,269854.5,0.866653025
59.017222143,sell,269855,411,269854.5,0.941149486
59.763692265,sell,269855,380,269854.5,0.671625264
59.763698398,sell,269855,620,269854.5,0.671631397
61.356441498,buy,269890,1000,269890.5,1.580367196
63.043252408,buy,269888,1000,269888.5,1.566261814
63.402309555,buy,269854,1000,269854.5,0.222229469
64.436103463,buy,269839,1000,269839.5,0.857892119
64.655174608,buy,269838,1000,269838.5,0.161044998
