t_s,mid_ticks,inv_btc,pnl_usdt
0.004324484,269770.5,0,0
1.099599348,269770.5,0,0
2.100550457,269770.5,0,0
3.148629407,269783.5,-0.01,-0.00124999999999729
4.102936906,269799.5,-0.02,-0.00439999999999826
5.100220474,269799.5,-0.02,-0.00439999999999826
6.096074864,269799.5,-0.02,-0.00439999999999826
7.09749539,269784.5,-0.01,-0.00285000000001019
8.097331799,269799.5,-0.02,-0.0058000000000021
9.095733054,269799.5,-0.02,-0.0058000000000021
10.096625685,269799.5,-0.02,-0.0058000000000021
11.098332329,269798.5,-0.01,-0.00565000000001276
12.098489001,269738.5,0.01,-0.00995000000001369
13.097083404,269787.5,-0.01,-0.0113500000000134
14.099564515,269787.5,-0.01,-0.0113500000000134
15.09734821,269787.5,-0.01,-0.0113500000000134
16.097029056,269787.5,-0.01,-0.0113500000000134
17.09761055,269746.5,0,-0.0113000000000163
18.098330101,269746.5,0,-0.0113000000000163
19.14156686,269799.5,-0.01,-0.0165500000000101
20.099852689,269799.5,-0.01,-0.0165500000000101
21.098159406,269799.5,-0.01,-0.0165500000000101
22.058165198,269866.5,-0.02,-0.0299000000000106
23.101665307,269899.5,-0.03,-0.0397500000000116
24.098950201,269956.5,-0.06,-0.0663000000000136
25.101365157,269983.5,-0.08,-0.0877000000000032
26.098861604,269983.5,-0.08,-0.0877000000000032
27.101040667,269999.5,-0.1,-0.103299999999991
28.031253233,270013.5,-0.1,-0.117300000000006
29.015646932,269943.5,-0.06,-0.0650999999999703
30.006379479,269943.5,-0.06,-0.0650999999999703
31.043758117,269943.5,-0.06,-0.0650999999999703
32.007098853,269878.5,-0.04,-0.0371999999999741
33.073786608,269878.5,-0.04,-0.0371999999999741
34.10175253,269878.5,-0.04,-0.0371999999999741
35.101576236,269878.5,-0.04,-0.0371999999999741
36.008560393,269878.5,-0.04,-0.0371999999999741
37.026469325,269879.5,-0.05,-0.0376499999999879
38.087971372,269879.5,-0.05,-0.0376499999999879
39.088800734,269879.5,-0.06,-0.0375999999999896
40.089662684,269920.5,-0.08,-0.0702999999999815
41.090001173,269893.5,-0.07,-0.0513500000000243
42.088351908,269884.5,-0.06,-0.0459000000000344
43.08747259,269884.5,-0.06,-0.0459000000000344
44.088152184,269884.5,-0.06,-0.0459000000000344
45.087289376,269884.5,-0.06,-0.0459000000000344
46.090550015,269847.5,-0.04,-0.0306000000000409
47.089969809,269895.5,-0.05,-0.0545500000000669
48.088309476,269895.5,-0.05,-0.0545500000000669
49.088267444,269898.5,-0.06,-0.0563000000000454
50.090738439,269950.5,-0.07,-0.0926500000000299
51.088821475,269950.5,-0.07,-0.0926500000000299
52.089441268,269950.5,-0.06,-0.0926000000000056
53.089769555,269920.5,-0.04,-0.0798000000000093
54.091915533,269920.5,-0.04,-0.0798000000000093
55.094429815,269920.5,-0.04,-0.0798000000000093
56.091810155,269894.5,-0.01,-0.0725500000000252
57.091284121,269859.5,0,-0.0725000000000264
58.092386326,269859.5,0,-0.0725000000000264
59.093788403,269859.5,0,-0.0725000000000264
60.092021648,269859.5,0,-0.0725000000000264
61.093035459,269854.5,0.01,-0.0730500000000258
62.092930113,269854.5,0,-0.0730000000000235
63.094577101,269890.5,-0.01,-0.0765500000000225
64.09440563,269890.5,-0.01,-0.0765500000000225
65.096333985,269888.5,0,-0.0765000000000207
66.097982746,269854.5,0.01,-0.0798500000000206
67.097267035,269839.5,0.02,-0.0828000000000196
68.09835582,269836.5,0.04,-0.0838000000000165
69.098884212,269836.5,0.04,-0.0838000000000165
70.106037127,269836.5,0.04,-0.0838000000000165
71.097806185,269840.5,0.02,-0.0826000000000224
72.100628917,269840.5,0.01,-0.0825500000000341
73.098681149,269840.5,0.01,-0.0825500000000341
74.099910508,269840.5,0.01,-0.0825500000000341
75.102292915,269840.5,0.01,-0.0825500000000341
76.101286203,269840.5,0.01,-0.0825500000000341
77.10055777,269820.5,0.05,-0.090350000000031
78.100837258,269825.5,0.05,-0.0877500000000277
79.10126446,269825.5,0.05,-0.0877500000000277
80.100053046,269825.5,0.05,-0.0877500000000277
81.101427941,269854.5,0.03,-0.0787500000000103
82.0982795,269854.5,0.03,-0.0787500000000103
83.097262446,269854.5,0.03,-0.0787500000000103
84.097185904,269854.5,0.03,-0.0787500000000103
85.097581805,269854.5,0.03,-0.0787500000000103
86.097470537,269854.5,0.03,-0.0787500000000103
87.100732729,269799.5,0.05,-0.106150000000019
88.099428056,269799.5,0.05,-0.106150000000019
89.005238963,269799.5,0.05,-0.106150000000019
90.007549947,269799.5,0.05,-0.106150000000019
91.102971091,269799.5,0.06,-0.106100000000025
92.016085343,269777.5,0.07175,-0.121423750000047
93.006348702,269799.5,0.05175,-0.109938750000046
94.007514868,269799.5,0.05175,-0.109938750000046
95.100508965,269776.5,0.07175,-0.126141250000058
96.102038896,269776.5,0.07175,-0.126141250000058
97.096038083,269737.5,0.08175,-0.157973750000051
98.092966451,269737.5,0.08175,-0.157973750000051
99.092140193,269725.5,0.09175,-0.168933750000046
100.092442412,269725.5,0.09175,-0.168933750000046
101.103007923,269725.5,0.10175,-0.16888375000006
102.099858317,269711.5,0.10175,-0.18312875000007
103.096201515,269711.5,0.10175,-0.18312875000007
104.097570482,269711.5,0.10175,-0.18312875000007
105.108750168,269711.5,0.09175,-0.18307875000004
106.098002406,269711.5,0.09175,-0.18307875000004
107.095098433,269711.5,0.0844,-0.18304200000007
108.098124447,269711.5,0.08175,-0.183028750000083
109.099608965,269711.5,0.08175,-0.183028750000083
110.097224377,269711.5,0.08175,-0.183028750000083
111.005965316,269685.5,0.10175,-0.208783750000067
112.098372733,269685.5,0.10175,-0.208783750000067
